名称,品牌,商圈,own_S,D,P,P_adj,D×P,P_blind,低证据点
奈雪的茶(宁波天一广场),奈雪,宁波天一广场,1.8,13.2,0.4508,0.5331,5.951,0.3132,
蜜雪冰城(天一广场店),蜜雪冰城,宁波天一广场,2.5,13.4,0.5981,0.6831,8.014,0.3731,
MoreYogurt茉酸奶(宁波天一广场店),茉酸奶,宁波天一广场,1.6,14.0,0.4377,0.5309,6.128,0.3273,
麦记牛奶(宁波天一广场店),麦记牛奶,宁波天一广场,1.4,12.4,0.4123,0.4836,5.113,0.3339,
喜茶(宁波天一悦沢店),喜茶,宁波天一广场,2.0,11.4,0.5596,0.6172,6.38,0.3885,
茉莉奶白(宁波天一广场店),茉莉奶白,宁波天一广场,1.5,19.6,0.4174,0.5874,8.18,0.3232,
LINLEE·手打柠檬茶(海曙天一广场2店),LINLEE,宁波天一广场,1.5,20.4,0.3648,0.5458,7.443,0.2769,
LINLEE·手打柠檬茶(海曙天一广场店),LINLEE,宁波天一广场,1.5,14.6,0.57,0.6715,8.322,0.4692,
茶百道(宁波海曙东鼓道店),茶百道,宁波天一广场,1.8,11.2,0.3923,0.4471,4.393,0.2639,
LELECHA乐乐茶(天一店),乐乐茶,宁波天一广场,1.6,16.2,0.6866,0.81,11.122,0.5779,
蜜雪冰城(东鼓道店),蜜雪冰城,宁波天一广场,2.5,11.2,0.6754,0.7303,7.565,0.4543,
茶百道(海曙开明街店),茶百道,宁波天一广场,1.8,21.2,0.4579,0.6499,9.707,0.3194,
沪上阿姨·精选茶饮(宁波海曙天一大梁街店),沪上阿姨,宁波天一广场,1.8,20.4,0.3542,0.5352,7.226,0.2335,
蜜雪冰城(亚细亚24小时营业店),蜜雪冰城,宁波天一广场,2.5,12.2,0.7593,0.8278,9.263,0.5578,
春莱chunlai泰式奶茶(D-G Line 东鼓道店),春莱,宁波天一广场,1.4,10.8,0.4881,0.5375,5.271,0.4051,
茶百道(宁波天一广场店),茶百道,宁波天一广场,1.8,9.4,0.8932,0.9233,8.396,0.8228,
柠季·手打柠檬茶(宁波东鼓道店),柠季,宁波天一广场,1.0,10.6,0.3505,0.3971,3.716,0.3505,
贡茶gongcha888(新街店),贡茶,宁波天一广场,1.4,19.4,0.6703,0.8376,13.005,0.5922,
CoCo都可(大来店),CoCo,宁波天一广场,1.8,10.8,0.7148,0.7642,7.72,0.582,
CoCo都可(莱迪数码时尚广场店),CoCo,宁波天一广场,1.8,14.2,0.6478,0.7437,9.198,0.5054,
LINLEE·手打柠檬茶(海曙东门银泰店),LINLEE,宁波天一广场,1.5,7.8,0.9318,0.94,7.268,0.9011,
南霆茶序(城隍庙店),个体/杂牌,宁波天一广场,1.0,10.8,0.3856,0.435,4.165,0.3856,
宝圆圆·现炒珍珠奶茶(宁波城隍庙店),宝圆圆,宁波天一广场,1.3,11.6,0.6855,0.7458,7.951,0.6264,
茶百道(城隍庙店),茶百道,宁波天一广场,1.8,10.4,0.7664,0.8103,7.971,0.6457,
城隍庙店(蜜雪冰城),蜜雪冰城,宁波天一广场,2.5,9.6,0.8131,0.846,7.806,0.635,
Blue Gaga饮品店(开明坊步行街店),个体/杂牌,宁波天一广场,1.0,7.0,0.9165,0.9137,6.415,0.9165,
喜茶(宁波1844广场店),喜茶,宁波天一广场,2.0,6.0,0.9413,0.9249,5.648,0.8891,
YES Lemon就是柠·手打柠檬茶(in77店),就是柠,杭州湖滨in77,1.3,6.0,0.6043,0.5878,3.626,0.5402,
