名称,商圈,S,D,P,D×P,P_blind
奈雪的茶(宁波天一广场),宁波天一广场,1.8,13.2,0.4508,5.95,0.3132
蜜雪冰城(天一广场店),宁波天一广场,2.5,13.4,0.5981,8.01,0.3731
MoreYogurt茉酸奶(宁波天一广场店),宁波天一广场,1.6,14.0,0.4377,6.13,0.3273
麦记牛奶(宁波天一广场店),宁波天一广场,1.4,12.4,0.4123,5.11,0.3339
喜茶(宁波天一悦沢店),宁波天一广场,2.0,11.4,0.5596,6.38,0.3885
茉莉奶白(宁波天一广场店),宁波天一广场,1.5,19.6,0.4174,8.18,0.3232
LINLEE·手打柠檬茶(海曙天一广场2店),宁波天一广场,1.5,20.4,0.3648,7.44,0.2769
LINLEE·手打柠檬茶(海曙天一广场店),宁波天一广场,1.5,14.6,0.57,8.32,0.4692
茶百道(宁波海曙东鼓道店),宁波天一广场,1.8,11.2,0.3923,4.39,0.2639
LELECHA乐乐茶(天一店),宁波天一广场,1.6,16.2,0.6866,11.12,0.5779
蜜雪冰城(东鼓道店),宁波天一广场,2.5,11.2,0.6754,7.56,0.4543
茶百道(海曙开明街店),宁波天一广场,1.8,21.2,0.4579,9.71,0.3194
沪上阿姨·精选茶饮(宁波海曙天一大梁街店),宁波天一广场,1.8,20.4,0.3542,7.23,0.2335
蜜雪冰城(亚细亚24小时营业店),宁波天一广场,2.5,12.2,0.7593,9.26,0.5578
春莱chunlai泰式奶茶(D-G Line 东鼓道店),宁波天一广场,1.4,10.8,0.4881,5.27,0.4051
茶百道(宁波天一广场店),宁波天一广场,1.8,9.4,0.8932,8.4,0.8228
柠季·手打柠檬茶(宁波东鼓道店),宁波天一广场,1.0,10.6,0.3505,3.72,0.3505
贡茶gongcha888(新街店),宁波天一广场,1.4,19.4,0.6703,13.0,0.5922
CoCo都可(大来店),宁波天一广场,1.8,10.8,0.7148,7.72,0.582
CoCo都可(莱迪数码时尚广场店),宁波天一广场,1.8,14.2,0.6478,9.2,0.5054
LINLEE·手打柠檬茶(海曙东门银泰店),宁波天一广场,1.5,7.8,0.9318,7.27,0.9011
南霆茶序(城隍庙店),宁波天一广场,1.0,10.8,0.3856,4.16,0.3856
宝圆圆·现炒珍珠奶茶(宁波城隍庙店),宁波天一广场,1.3,11.6,0.6855,7.95,0.6264
茶百道(城隍庙店),宁波天一广场,1.8,10.4,0.7664,7.97,0.6457
城隍庙店(蜜雪冰城),宁波天一广场,2.5,9.6,0.8131,7.81,0.635
Blue Gaga饮品店(开明坊步行街店),宁波天一广场,1.0,7.0,0.9165,6.42,0.9165
喜茶(宁波1844广场店),宁波天一广场,2.0,6.0,0.9413,5.65,0.8891
YES Lemon就是柠·手打柠檬茶(in77店),杭州湖滨in77,1.3,6.0,0.6043,3.63,0.5402
"蜜雪冰城(仁和路店,位置处于延安路215号)",杭州湖滨in77,2.5,6.8,0.8076,5.49,0.6267
霸王茶姬(浙江杭州东坡路店),杭州湖滨in77,2.0,4.8,0.7052,3.39,0.5447
VQ鲜榨果汁(杭州湖滨in77店),杭州湖滨in77,1.3,8.4,0.4339,3.64,0.3709
蜜雪冰城(西湖景区湖滨88店),杭州湖滨in77,2.5,5.4,0.6741,3.64,0.4527
蜜雪冰城(平海路67号),杭州湖滨in77,2.5,9.4,0.4525,4.25,0.2484
李若桃·手作酸奶铺(杭州湖滨in77店),杭州湖滨in77,1.4,7.2,0.4417,3.18,0.3611
CHAGEE霸王茶姬(杭州湖滨in77C3区店),杭州湖滨in77,2.0,5.2,0.87,4.52,0.7699
茉莉奶白(杭州湖滨in77B区店),杭州湖滨in77,1.5,8.2,0.4427,3.63,0.3462
喜茶(杭州湖滨in77E区店),杭州湖滨in77,2.0,3.4,0.793,2.7,0.657
LELECHA乐乐茶(杭州湖滨in77店),杭州湖滨in77,1.6,3.4,0.8359,2.84,0.7609
CoCo都可(工联大厦店),杭州湖滨in77,1.8,7.0,0.5237,3.67,0.3792
茉莉奶白(杭州湖滨88店),杭州湖滨in77,1.5,4.0,0.6042,2.42,0.5044
麒麟大口茶(杭州首店),杭州湖滨in77,1.3,3.4,0.8064,2.74,0.7621
裕莲茶楼(杭州湖滨in77C3区店),杭州湖滨in77,1.5,3.4,0.8382,2.85,0.7755
爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),杭州湖滨in77,2.0,8.6,0.3575,3.07,0.2177
喜茶(杭州湖滨in77B区店),杭州湖滨in77,2.0,8.4,0.493,4.14,0.3271
闲吉·好茶自然香(杭州湖滨in77B区店),杭州湖滨in77,1.1,8.6,0.3184,2.74,0.2981
裕莲茶楼(杭州湖滨in77B区店),杭州湖滨in77,1.5,8.0,0.6027,4.82,0.5029
沪上阿姨·精选茶饮(杭州工联CC店),杭州湖滨in77,1.8,8.0,0.6026,4.82,0.4573
LINLEE·手打柠檬茶(湖滨工联CC店),杭州湖滨in77,1.5,8.2,0.5627,4.61,0.4617
CHAGEE霸王茶姬(上城工联CC店),杭州湖滨in77,2.0,8.0,0.6276,5.02,0.4573
本就茶饮,杭州湖滨in77,1.0,3.2,0.7635,2.44,0.7635
周四晚不止碰到茶(湖滨店),杭州湖滨in77,1.6,9.8,0.5797,5.68,0.463
CoCo都可(工联CC店),杭州湖滨in77,1.8,8.0,0.6023,4.82,0.4569
鲜榨果汁,杭州湖滨in77,1.0,8.8,0.5589,4.92,0.5589
蜜雪冰城(学士路店),杭州湖滨in77,2.5,9.8,0.793,7.77,0.6051
蜜雪冰城(西湖好吃街店),杭州湖滨in77,2.5,10.6,0.5154,5.46,0.2984
蜜雪冰城(杭州西湖风景名胜区-湖滨公园店),杭州湖滨in77,2.5,0.4,0.9909,0.4,0.9775
喝喝茶,杭州湖滨in77,1.0,6.6,0.9133,6.03,0.9133
柠好鸭·手打柠檬茶(湖滨店),杭州湖滨in77,1.2,8.6,0.7966,6.85,0.7655
蜜雪冰城(涌金广场店),杭州湖滨in77,2.5,3.2,0.9878,3.16,0.9701
熹子茶馆(杭州湖滨店),杭州湖滨in77,1.0,1.8,0.9406,1.69,0.9406
