名称,品牌,商圈,own_S,D,P,D×P,商圈中位D×P,uplift,低证据点
奈雪的茶(宁波天一广场),奈雪,宁波天一广场,1.8,13.2,0.4508,5.951,7.565,0.7866,
蜜雪冰城(天一广场店),蜜雪冰城,宁波天一广场,2.5,13.4,0.5981,8.014,7.565,1.0594,
MoreYogurt茉酸奶(宁波天一广场店),茉酸奶,宁波天一广场,1.6,14.0,0.4377,6.128,7.565,0.81,
麦记牛奶(宁波天一广场店),麦记牛奶,宁波天一广场,1.4,12.4,0.4123,5.113,7.565,0.6759,
喜茶(宁波天一悦沢店),喜茶,宁波天一广场,2.0,11.4,0.5596,6.38,7.565,0.8434,
茉莉奶白(宁波天一广场店),茉莉奶白,宁波天一广场,1.5,19.6,0.4174,8.18,7.565,1.0813,
LINLEE·手打柠檬茶(海曙天一广场2店),LINLEE,宁波天一广场,1.5,20.4,0.3648,7.443,7.565,0.9839,
LINLEE·手打柠檬茶(海曙天一广场店),LINLEE,宁波天一广场,1.5,14.6,0.57,8.322,7.565,1.1001,
茶百道(宁波海曙东鼓道店),茶百道,宁波天一广场,1.8,11.2,0.3923,4.393,7.565,0.5807,
LELECHA乐乐茶(天一店),乐乐茶,宁波天一广场,1.6,16.2,0.6866,11.122,7.565,1.4702,
蜜雪冰城(东鼓道店),蜜雪冰城,宁波天一广场,2.5,11.2,0.6754,7.565,7.565,1.0,
茶百道(海曙开明街店),茶百道,宁波天一广场,1.8,21.2,0.4579,9.707,7.565,1.2831,
沪上阿姨·精选茶饮(宁波海曙天一大梁街店),沪上阿姨,宁波天一广场,1.8,20.4,0.3542,7.226,7.565,0.9552,
蜜雪冰城(亚细亚24小时营业店),蜜雪冰城,宁波天一广场,2.5,12.2,0.7593,9.263,7.565,1.2245,
春莱chunlai泰式奶茶(D-G Line 东鼓道店),春莱,宁波天一广场,1.4,10.8,0.4881,5.271,7.565,0.6968,
茶百道(宁波天一广场店),茶百道,宁波天一广场,1.8,9.4,0.8932,8.396,7.565,1.1098,
柠季·手打柠檬茶(宁波东鼓道店),柠季,宁波天一广场,1.0,10.6,0.3505,3.716,7.565,0.4912,
贡茶gongcha888(新街店),贡茶,宁波天一广场,1.4,19.4,0.6703,13.005,7.565,1.7191,
CoCo都可(大来店),CoCo,宁波天一广场,1.8,10.8,0.7148,7.72,7.565,1.0205,
CoCo都可(莱迪数码时尚广场店),CoCo,宁波天一广场,1.8,14.2,0.6478,9.198,7.565,1.2159,
LINLEE·手打柠檬茶(海曙东门银泰店),LINLEE,宁波天一广场,1.5,7.8,0.9318,7.268,7.565,0.9607,
南霆茶序(城隍庙店),个体/杂牌,宁波天一广场,1.0,10.8,0.3856,4.165,7.565,0.5506,
宝圆圆·现炒珍珠奶茶(宁波城隍庙店),宝圆圆,宁波天一广场,1.3,11.6,0.6855,7.951,7.565,1.051,
茶百道(城隍庙店),茶百道,宁波天一广场,1.8,10.4,0.7664,7.971,7.565,1.0537,
城隍庙店(蜜雪冰城),蜜雪冰城,宁波天一广场,2.5,9.6,0.8131,7.806,7.565,1.0319,
Blue Gaga饮品店(开明坊步行街店),个体/杂牌,宁波天一广场,1.0,7.0,0.9165,6.415,7.565,0.848,
喜茶(宁波1844广场店),喜茶,宁波天一广场,2.0,6.0,0.9413,5.648,7.565,0.7466,
YES Lemon就是柠·手打柠檬茶(in77店),就是柠,杭州湖滨in77,1.3,6.0,0.6043,3.626,4.141,0.8756,
"蜜雪冰城(仁和路店,位置处于延安路215号)",蜜雪冰城,杭州湖滨in77,2.5,6.8,0.8076,5.492,4.141,1.3262,
霸王茶姬(浙江杭州东坡路店),霸王茶姬,杭州湖滨in77,2.0,4.8,0.7052,3.385,4.141,0.8174,
VQ鲜榨果汁(杭州湖滨in77店),VQ鲜榨果汁,杭州湖滨in77,1.3,8.4,0.4339,3.645,4.141,0.8802,
蜜雪冰城(西湖景区湖滨88店),蜜雪冰城,杭州湖滨in77,2.5,5.4,0.6741,3.64,4.141,0.879,
蜜雪冰城(平海路67号),蜜雪冰城,杭州湖滨in77,2.5,9.4,0.4525,4.253,4.141,1.027,
李若桃·手作酸奶铺(杭州湖滨in77店),李若桃,杭州湖滨in77,1.4,7.2,0.4417,3.18,4.141,0.7679,
CHAGEE霸王茶姬(杭州湖滨in77C3区店),霸王茶姬,杭州湖滨in77,2.0,5.2,0.87,4.524,4.141,1.0925,
茉莉奶白(杭州湖滨in77B区店),茉莉奶白,杭州湖滨in77,1.5,8.2,0.4427,3.63,4.141,0.8766,
喜茶(杭州湖滨in77E区店),喜茶,杭州湖滨in77,2.0,3.4,0.793,2.696,4.141,0.6511,
LELECHA乐乐茶(杭州湖滨in77店),乐乐茶,杭州湖滨in77,1.6,3.4,0.8359,2.842,4.141,0.6863,
CoCo都可(工联大厦店),CoCo,杭州湖滨in77,1.8,7.0,0.5237,3.666,4.141,0.8853,
茉莉奶白(杭州湖滨88店),茉莉奶白,杭州湖滨in77,1.5,4.0,0.6042,2.417,4.141,0.5837,
麒麟大口茶(杭州首店),麒麟大口茶,杭州湖滨in77,1.3,3.4,0.8064,2.742,4.141,0.6622,
裕莲茶楼(杭州湖滨in77C3区店),裕莲茶楼,杭州湖滨in77,1.5,3.4,0.8382,2.85,4.141,0.6882,
爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),爷爷不泡茶,杭州湖滨in77,2.0,8.6,0.3575,3.075,4.141,0.7426,
喜茶(杭州湖滨in77B区店),喜茶,杭州湖滨in77,2.0,8.4,0.493,4.141,4.141,1.0,
闲吉·好茶自然香(杭州湖滨in77B区店),闲吉,杭州湖滨in77,1.1,8.6,0.3184,2.738,4.141,0.6612,
裕莲茶楼(杭州湖滨in77B区店),裕莲茶楼,杭州湖滨in77,1.5,8.0,0.6027,4.822,4.141,1.1645,
沪上阿姨·精选茶饮(杭州工联CC店),沪上阿姨,杭州湖滨in77,1.8,8.0,0.6026,4.821,4.141,1.1642,
LINLEE·手打柠檬茶(湖滨工联CC店),LINLEE,杭州湖滨in77,1.5,8.2,0.5627,4.614,4.141,1.1142,
CHAGEE霸王茶姬(上城工联CC店),霸王茶姬,杭州湖滨in77,2.0,8.0,0.6276,5.021,4.141,1.2125,
本就茶饮,个体/杂牌,杭州湖滨in77,1.0,3.2,0.7635,2.443,4.141,0.59,
周四晚不止碰到茶(湖滨店),周四晚,杭州湖滨in77,1.6,9.8,0.5797,5.681,4.141,1.3719,
CoCo都可(工联CC店),CoCo,杭州湖滨in77,1.8,8.0,0.6023,4.818,4.141,1.1635,
鲜榨果汁,个体/杂牌,杭州湖滨in77,1.0,8.8,0.5589,4.919,4.141,1.1879,
蜜雪冰城(学士路店),蜜雪冰城,杭州湖滨in77,2.5,9.8,0.793,7.771,4.141,1.8766,
蜜雪冰城(西湖好吃街店),蜜雪冰城,杭州湖滨in77,2.5,10.6,0.5154,5.463,4.141,1.3192,
蜜雪冰城(杭州西湖风景名胜区-湖滨公园店),蜜雪冰城,杭州湖滨in77,2.5,0.4,0.9909,0.396,4.141,,Y
喝喝茶,个体/杂牌,杭州湖滨in77,1.0,6.6,0.9133,6.028,4.141,1.4557,
柠好鸭·手打柠檬茶(湖滨店),柠好鸭,杭州湖滨in77,1.2,8.6,0.7966,6.851,4.141,1.6544,
蜜雪冰城(涌金广场店),蜜雪冰城,杭州湖滨in77,2.5,3.2,0.9878,3.161,4.141,0.7633,
熹子茶馆(杭州湖滨店),个体/杂牌,杭州湖滨in77,1.0,1.8,0.9406,1.693,4.141,,Y
蜜雪冰城(中山中路362号店),蜜雪冰城,杭州湖滨in77,2.5,5.6,1.0,5.6,4.141,1.3523,
沪上阿姨·精选茶饮(杭州中山中路店),沪上阿姨,杭州湖滨in77,1.8,5.6,1.0,5.6,4.141,1.3523,
悦小颜鲜竹奶茶店,个体/杂牌,杭州湖滨in77,1.0,0.2,0.9587,0.192,4.141,,Y
手打柠檬茶,个体/杂牌,杭州湖滨in77,1.0,1.8,0.9346,1.682,4.141,,Y
angtea艾熟茶(杭州嘉里中心店),angtea艾熟茶,杭州湖滨in77,1.2,5.8,0.8428,4.888,4.141,1.1804,
柠檬向右(杭州湖滨88店)(暂停营业),个体/杂牌,杭州湖滨in77,1.0,6.6,0.3601,2.376,4.141,0.5738,
CoCo都可(海宁银泰店),CoCo,海宁银泰商圈,1.8,2.0,0.8485,1.697,2.053,,Y
李若桃·手作酸奶铺(嘉兴海宁银泰城店),李若桃,海宁银泰商圈,1.4,2.0,0.8091,1.618,2.053,,Y
蜜雪冰城(银泰城负一楼店),蜜雪冰城,海宁银泰商圈,2.5,2.0,0.7881,1.576,2.053,0.7678,
茉莉奶白(嘉兴海宁银泰城店),茉莉奶白,海宁银泰商圈,1.5,2.0,0.8522,1.704,2.053,,Y
麦记牛奶(海宁银泰店),麦记牛奶,海宁银泰商圈,1.4,4.4,0.6043,2.659,2.053,1.2955,
Tamkoko泰柯茶园(海宁银泰店),Tamkoko泰柯茶园,海宁银泰商圈,1.2,4.4,0.3547,1.561,2.053,0.7605,
