名称,客群POI数,商业POI数,需求D
奈雪的茶(宁波天一广场),28,34,29.2
蜜雪冰城(天一广场店),25,32,26.4
MoreYogurt茉酸奶(宁波天一广场店),22,26,22.8
麦记牛奶(宁波天一广场店),30,18,27.6
喜茶(宁波天一悦沢店),32,13,28.2
茉莉奶白(宁波天一广场店),36,56,40.0
LINLEE·手打柠檬茶(海曙天一广场2店),24,50,29.2
LINLEE·手打柠檬茶(海曙天一广场店),37,21,33.8
茶百道(宁波海曙东鼓道店),34,53,37.8
LELECHA乐乐茶(天一店),9,22,11.6
蜜雪冰城(东鼓道店),33,18,30.0
茶百道(海曙开明街店),18,53,25.0
沪上阿姨·精选茶饮(宁波海曙天一大梁街店),18,55,25.4
蜜雪冰城(亚细亚24小时营业店),11,15,11.8
春莱chunlai泰式奶茶(D-G Line 东鼓道店),30,17,27.4
茶百道(宁波天一广场店),23,29,24.2
柠季·手打柠檬茶(宁波东鼓道店),30,17,27.4
贡茶gongcha888(新街店),12,35,16.6
CoCo都可(大来店),11,36,16.0
CoCo都可(莱迪数码时尚广场店),17,30,19.6
LINLEE·手打柠檬茶(海曙东门银泰店),33,11,28.6
南霆茶序(城隍庙店),9,48,16.8
宝圆圆·现炒珍珠奶茶(宁波城隍庙店),22,32,24.0
茶百道(城隍庙店),9,57,18.6
城隍庙店(蜜雪冰城),9,59,19.0
Blue Gaga饮品店(开明坊步行街店),7,22,10.0
喜茶(宁波1844广场店),3,67,15.8
YES Lemon就是柠·手打柠檬茶(in77店),31,15,27.8
"蜜雪冰城(仁和路店,位置处于延安路215号)",46,16,40.0
霸王茶姬(浙江杭州东坡路店),27,11,23.8
VQ鲜榨果汁(杭州湖滨in77店),52,9,43.4
蜜雪冰城(西湖景区湖滨88店),4,21,7.4
蜜雪冰城(平海路67号),55,11,46.2
李若桃·手作酸奶铺(杭州湖滨in77店),4,11,5.4
CHAGEE霸王茶姬(杭州湖滨in77C3区店),34,8,28.8
茉莉奶白(杭州湖滨in77B区店),5,19,7.8
喜茶(杭州湖滨in77E区店),21,17,20.2
LELECHA乐乐茶(杭州湖滨in77店),26,7,22.2
CoCo都可(工联大厦店),5,12,6.4
茉莉奶白(杭州湖滨88店),5,41,12.2
麒麟大口茶(杭州首店),24,8,20.8
裕莲茶楼(杭州湖滨in77C3区店),19,8,16.8
爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),5,14,6.8
喜茶(杭州湖滨in77B区店),5,17,7.4
闲吉·好茶自然香(杭州湖滨in77B区店),6,16,8.0
裕莲茶楼(杭州湖滨in77B区店),5,23,8.6
沪上阿姨·精选茶饮(杭州工联CC店),4,8,4.8
LINLEE·手打柠檬茶(湖滨工联CC店),5,9,5.8
CHAGEE霸王茶姬(上城工联CC店),5,9,5.8
本就茶饮,14,8,12.8
周四晚不止碰到茶(湖滨店),5,34,10.8
CoCo都可(工联CC店),5,7,5.4
鲜榨果汁,7,27,11.0
蜜雪冰城(学士路店),6,8,6.4
蜜雪冰城(西湖好吃街店),8,10,8.4
蜜雪冰城(杭州西湖风景名胜区-湖滨公园店),5,15,7.0
喝喝茶,46,3,37.4
柠好鸭·手打柠檬茶(湖滨店),28,7,23.8
蜜雪冰城(涌金广场店),26,9,22.6
熹子茶馆(杭州湖滨店),22,15,20.6
蜜雪冰城(中山中路362号店),10,6,9.2
沪上阿姨·精选茶饮(杭州中山中路店),10,5,9.0
悦小颜鲜竹奶茶店,18,7,15.8
手打柠檬茶,5,17,7.4
angtea艾熟茶(杭州嘉里中心店),20,18,19.6
柠檬向右(杭州湖滨88店)(暂停营业),5,42,12.4
CoCo都可(海宁银泰店),3,30,8.4
李若桃·手作酸奶铺(嘉兴海宁银泰城店),3,31,8.6
蜜雪冰城(银泰城负一楼店),3,31,8.6
茉莉奶白(嘉兴海宁银泰城店),3,30,8.4
麦记牛奶(海宁银泰店),3,28,8.0
Tamkoko泰柯茶园(海宁银泰店),3,28,8.0
沪上阿姨·精选茶饮(嘉兴海宁海昌路银泰店),3,28,8.0
茶百道(海宁银泰百货店),3,25,7.4
OT另茶(海宁银泰城店),3,28,8.0
煲珠公·老红糖珍珠奶茶(海宁银泰百货店),3,26,7.6
茶理宜世(海宁银泰店),3,23,7.0
CHAGEE霸王茶姬(海宁银泰店),3,25,7.4
喜茶(海宁银泰城店),3,25,7.4
蜜雪冰城(银泰店),3,23,7.0
渝品燕鲜炖热饮,3,31,8.6
茶百道(华润店),7,3,6.2
LELECHA乐乐茶(嘉兴海宁映运汇店),4,3,3.8
