名称,商圈,品牌,客群匹配度,竞争压力,交通可达性,租金承受力,总分
奈雪的茶(宁波天一广场),宁波天一广场,奈雪,97,41,97,95,82.7
蜜雪冰城(天一广场店),宁波天一广场,蜜雪冰城,97,48,97,95,84.4
MoreYogurt茉酸奶(宁波天一广场店),宁波天一广场,茉酸奶,81,39,97,95,76.6
麦记牛奶(宁波天一广场店),宁波天一广场,麦记牛奶,81,40,97,95,76.8
喜茶(宁波天一悦沢店),宁波天一广场,喜茶,81,51,97,95,79.6
茉莉奶白(宁波天一广场店),宁波天一广场,茉莉奶白,84,39,84,95,74.4
LINLEE·手打柠檬茶(海曙天一广场2店),宁波天一广场,LINLEE,83,37,84,95,73.5
LINLEE·手打柠檬茶(海曙天一广场店),宁波天一广场,LINLEE,84,47,84,95,76.4
茶百道(宁波海曙东鼓道店),宁波天一广场,茶百道,100,58,97,95,88.0
LELECHA乐乐茶(天一店),宁波天一广场,乐乐茶,100,78,84,95,89.8
蜜雪冰城(东鼓道店),宁波天一广场,蜜雪冰城,87,89,99,95,91.7
茶百道(海曙开明街店),宁波天一广场,茶百道,83,39,84,95,74.0
沪上阿姨·精选茶饮(宁波海曙天一大梁街店),宁波天一广场,沪上阿姨,84,36,84,95,73.7
蜜雪冰城(亚细亚24小时营业店),宁波天一广场,蜜雪冰城,87,98,82,95,89.7
春莱chunlai泰式奶茶(D-G Line 东鼓道店),宁波天一广场,春莱,99,47,99,95,85.4
茶百道(宁波天一广场店),宁波天一广场,茶百道,85,63,82,95,80.2
柠季·手打柠檬茶(宁波东鼓道店),宁波天一广场,柠季,99,38,99,95,83.2
贡茶gongcha888(新街店),宁波天一广场,贡茶,93,64,97,95,87.0
CoCo都可(大来店),宁波天一广场,CoCo,88,57,82,95,79.8
CoCo都可(莱迪数码时尚广场店),宁波天一广场,CoCo,87,88,97,95,91.0
LINLEE·手打柠檬茶(海曙东门银泰店),宁波天一广场,LINLEE,80,100,82,95,87.8
南霆茶序(城隍庙店),宁波天一广场,个体/杂牌,86,47,97,95,80.3
宝圆圆·现炒珍珠奶茶(宁波城隍庙店),宁波天一广场,宝圆圆,100,57,97,95,87.8
茶百道(城隍庙店),宁波天一广场,茶百道,85,58,97,95,82.8
城隍庙店(蜜雪冰城),宁波天一广场,蜜雪冰城,85,95,97,95,92.0
Blue Gaga饮品店(开明坊步行街店),宁波天一广场,个体/杂牌,35,100,80,95,71.5
喜茶(宁波1844广场店),宁波天一广场,喜茶,39,100,84,95,73.9
YES Lemon就是柠·手打柠檬茶(in77店),杭州湖滨in77,就是柠,83,73,97,95,85.8
"蜜雪冰城(仁和路店,位置处于延安路215号)",杭州湖滨in77,蜜雪冰城,83,63,97,95,83.3
霸王茶姬(浙江杭州东坡路店),杭州湖滨in77,霸王茶姬,82,91,97,95,90.0
VQ鲜榨果汁(杭州湖滨in77店),杭州湖滨in77,VQ鲜榨果汁,87,53,97,95,82.2
蜜雪冰城(西湖景区湖滨88店),杭州湖滨in77,蜜雪冰城,85,55,97,95,82.0
蜜雪冰城(平海路67号),杭州湖滨in77,蜜雪冰城,90,45,97,95,81.2
李若桃·手作酸奶铺(杭州湖滨in77店),杭州湖滨in77,李若桃,87,38,97,95,78.5
CHAGEE霸王茶姬(杭州湖滨in77C3区店),杭州湖滨in77,霸王茶姬,86,100,82,95,89.8
茉莉奶白(杭州湖滨in77B区店),杭州湖滨in77,茉莉奶白,87,35,97,95,77.7
喜茶(杭州湖滨in77E区店),杭州湖滨in77,喜茶,82,100,82,95,88.5
LELECHA乐乐茶(杭州湖滨in77店),杭州湖滨in77,乐乐茶,84,100,82,95,89.2
CoCo都可(工联大厦店),杭州湖滨in77,CoCo,88,42,97,95,79.8
茉莉奶白(杭州湖滨88店),杭州湖滨in77,茉莉奶白,84,50,97,95,80.4
麒麟大口茶(杭州首店),杭州湖滨in77,麒麟大口茶,85,100,82,95,89.5
裕莲茶楼(杭州湖滨in77C3区店),杭州湖滨in77,裕莲茶楼,84,100,82,95,89.2
爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),杭州湖滨in77,爷爷不泡茶,89,44,97,95,80.7
喜茶(杭州湖滨in77B区店),杭州湖滨in77,喜茶,89,40,97,95,79.7
闲吉·好茶自然香(杭州湖滨in77B区店),杭州湖滨in77,闲吉,90,30,97,95,77.5
裕莲茶楼(杭州湖滨in77B区店),杭州湖滨in77,裕莲茶楼,88,34,97,95,77.8
沪上阿姨·精选茶饮(杭州工联CC店),杭州湖滨in77,沪上阿姨,93,65,97,95,87.3
LINLEE·手打柠檬茶(湖滨工联CC店),杭州湖滨in77,LINLEE,94,61,97,95,86.7
CHAGEE霸王茶姬(上城工联CC店),杭州湖滨in77,霸王茶姬,94,69,97,95,88.7
本就茶饮,杭州湖滨in77,个体/杂牌,88,100,82,95,90.5
周四晚不止碰到茶(湖滨店),杭州湖滨in77,周四晚,89,41,97,95,79.9
CoCo都可(工联CC店),杭州湖滨in77,CoCo,83,75,97,95,86.3
鲜榨果汁,杭州湖滨in77,个体/杂牌,86,65,97,95,84.8
蜜雪冰城(学士路店),杭州湖滨in77,蜜雪冰城,83,62,97,95,83.0
蜜雪冰城(西湖好吃街店),杭州湖滨in77,蜜雪冰城,83,73,97,95,85.8
蜜雪冰城(杭州西湖风景名胜区-湖滨公园店),杭州湖滨in77,蜜雪冰城,31,100,80,95,70.1
喝喝茶,杭州湖滨in77,个体/杂牌,88,100,82,95,90.5
柠好鸭·手打柠檬茶(湖滨店),杭州湖滨in77,柠好鸭,93,100,82,95,92.3
蜜雪冰城(涌金广场店),杭州湖滨in77,蜜雪冰城,37,100,97,95,76.5
熹子茶馆(杭州湖滨店),杭州湖滨in77,个体/杂牌,84,100,80,95,88.7
蜜雪冰城(中山中路362号店),杭州湖滨in77,蜜雪冰城,84,75,82,95,82.9
沪上阿姨·精选茶饮(杭州中山中路店),杭州湖滨in77,沪上阿姨,84,100,82,95,89.2
悦小颜鲜竹奶茶店,杭州湖滨in77,个体/杂牌,4,100,55,95,54.4
手打柠檬茶,杭州湖滨in77,个体/杂牌,16,100,80,95,64.8
angtea艾熟茶(杭州嘉里中心店),杭州湖滨in77,angtea艾熟茶,81,100,82,95,88.1
柠檬向右(杭州湖滨88店)(暂停营业),杭州湖滨in77,个体/杂牌,85,47,97,95,80.0
CoCo都可(海宁银泰店),海宁银泰商圈,CoCo,86,93,55,95,81.3
李若桃·手作酸奶铺(嘉兴海宁银泰城店),海宁银泰商圈,李若桃,86,86,55,95,79.6
蜜雪冰城(银泰城负一楼店),海宁银泰商圈,蜜雪冰城,86,99,55,95,82.8
茉莉奶白(嘉兴海宁银泰城店),海宁银泰商圈,茉莉奶白,67,75,55,95,70.2
麦记牛奶(海宁银泰店),海宁银泰商圈,麦记牛奶,66,49,55,95,63.3
Tamkoko泰柯茶园(海宁银泰店),海宁银泰商圈,Tamkoko泰柯茶园,71,44,55,95,63.8
沪上阿姨·精选茶饮(嘉兴海宁海昌路银泰店),海宁银泰商圈,沪上阿姨,75,66,55,95,70.8
茶百道(海宁银泰百货店),海宁银泰商圈,茶百道,64,54,55,95,63.9
OT另茶(海宁银泰城店),海宁银泰商圈,OT另茶,75,57,55,95,68.5
煲珠公·老红糖珍珠奶茶(海宁银泰百货店),海宁银泰商圈,煲珠公,84,61,55,95,72.7
茶理宜世(海宁银泰店),海宁银泰商圈,茶理宜世,83,61,55,95,72.3
CHAGEE霸王茶姬(海宁银泰店),海宁银泰商圈,霸王茶姬,82,90,55,95,79.2
喜茶(海宁银泰城店),海宁银泰商圈,喜茶,82,93,55,95,80.0
蜜雪冰城(银泰店),海宁银泰商圈,蜜雪冰城,43,75,55,95,61.8
渝品燕鲜炖热饮,海宁银泰商圈,个体/杂牌,13,100,55,95,57.5
茶百道(华润店),海宁银泰商圈,茶百道,7,75,97,95,59.7
LELECHA乐乐茶(嘉兴海宁映运汇店),海宁银泰商圈,乐乐茶,4,75,97,95,58.6
