名称,品牌,商圈,P,竞争压力,own_S,竞品数,P_anchor
奈雪的茶(宁波天一广场),奈雪,宁波天一广场,0.2731,41,1.8,28,0.2506
蜜雪冰城(天一广场店),蜜雪冰城,宁波天一广场,0.3214,48,2.5,29,0.2647
MoreYogurt茉酸奶(宁波天一广场店),茉酸奶,宁波天一广场,0.2614,39,1.6,27,0.255
麦记牛奶(宁波天一广场店),麦记牛奶,宁波天一广场,0.2665,40,1.4,26,0.2896
喜茶(宁波天一悦沢店),喜茶,宁波天一广场,0.34,51,2.0,26,0.3469
茉莉奶白(宁波天一广场店),茉莉奶白,宁波天一广场,0.2621,39,1.5,27,0.2685
LINLEE·手打柠檬茶(海曙天一广场2店),LINLEE,宁波天一广场,0.2436,37,1.5,27,0.2405
LINLEE·手打柠檬茶(海曙天一广场店),LINLEE,宁波天一广场,0.3163,47,1.5,25,0.3646
茶百道(宁波海曙东鼓道店),茶百道,宁波天一广场,0.3853,58,1.8,25,0.2583
LELECHA乐乐茶(天一店),乐乐茶,宁波天一广场,0.5171,78,1.6,29,0.4009
蜜雪冰城(东鼓道店),蜜雪冰城,宁波天一广场,0.5924,89,2.5,24,0.3676
茶百道(海曙开明街店),茶百道,宁波天一广场,0.2627,39,1.8,27,0.2352
沪上阿姨·精选茶饮(宁波海曙天一大梁街店),沪上阿姨,宁波天一广场,0.237,36,1.8,27,0.2002
蜜雪冰城(亚细亚24小时营业店),蜜雪冰城,宁波天一广场,0.6508,98,2.5,29,0.4271
春莱chunlai泰式奶茶(D-G Line 东鼓道店),春莱,宁波天一广场,0.3105,47,1.4,24,0.3691
茶百道(宁波天一广场店),茶百道,宁波天一广场,0.4227,63,1.8,15,0.6029
柠季·手打柠檬茶(宁波东鼓道店),柠季,宁波天一广场,0.2508,38,1.0,24,0.3348
贡茶gongcha888(新街店),贡茶,宁波天一广场,0.4286,64,1.0,25,0.4286
CoCo都可(大来店),CoCo,宁波天一广场,0.3769,57,1.8,22,0.4596
CoCo都可(莱迪数码时尚广场店),CoCo,宁波天一广场,0.5875,88,1.8,20,0.4418
LINLEE·手打柠檬茶(海曙东门银泰店),LINLEE,宁波天一广场,0.8102,100,1.5,12,0.74
南霆茶序(城隍庙店),个体/杂牌,宁波天一广场,0.3156,47,1.0,20,0.3156
宝圆圆·现炒珍珠奶茶(宁波城隍庙店),宝圆圆,宁波天一广场,0.3787,57,1.3,19,0.5457
茶百道(城隍庙店),茶百道,宁波天一广场,0.3837,58,1.8,16,0.4781
城隍庙店(蜜雪冰城),蜜雪冰城,宁波天一广场,0.6352,95,2.5,13,0.4106
Blue Gaga饮品店(开明坊步行街店),个体/杂牌,宁波天一广场,0.8596,100,1.0,5,0.8596
喜茶(宁波1844广场店),喜茶,宁波天一广场,0.8762,100,2.0,5,0.7796
YES Lemon就是柠·手打柠檬茶(in77店),就是柠,杭州湖滨in77,0.4869,73,1.3,19,0.4219
"蜜雪冰城(仁和路店,位置处于延安路215号)",蜜雪冰城,杭州湖滨in77,0.4208,63,2.5,19,0.5153
霸王茶姬(浙江杭州东坡路店),霸王茶姬,杭州湖滨in77,0.6077,91,2.0,19,0.4365
VQ鲜榨果汁(杭州湖滨in77店),VQ鲜榨果汁,杭州湖滨in77,0.3561,53,1.3,19,0.2985
蜜雪冰城(西湖景区湖滨88店),蜜雪冰城,杭州湖滨in77,0.3697,55,2.5,20,0.362
蜜雪冰城(平海路67号),蜜雪冰城,杭州湖滨in77,0.3032,45,2.5,20,0.2355
李若桃·手作酸奶铺(杭州湖滨in77店),李若桃,杭州湖滨in77,0.2521,38,1.4,20,0.194
CHAGEE霸王茶姬(杭州湖滨in77C3区店),霸王茶姬,杭州湖滨in77,0.7516,100,2.0,17,0.602
茉莉奶白(杭州湖滨in77B区店),茉莉奶白,杭州湖滨in77,0.2301,35,1.5,20,0.2212
