lambda,spearman_品牌引力,pearson_log_品牌引力,spearman_纯距离基线
1.0,-0.08118136450784207,-0.23129519174055047,-0.186963142502909
1.1,-0.07749130248475833,-0.2479584704292852,-0.2066434732926889
1.2,-0.07749130248475833,-0.26147057385517386,-0.2066434732926889
1.3,-0.1020917159719832,-0.2723655260171901,-0.19434326654907647
1.4,-0.09594161260017699,-0.28106692449283793,-0.19434326654907647
1.5,-0.09594161260017699,-0.2879234389844608,-0.19434326654907647
1.6,-0.09594161260017699,-0.2932327960932644,-0.19434326654907647
1.7,-0.09102152990273202,-0.2972561658242917,-0.19434326654907647
1.8,-0.09102152990273202,-0.30022558866595334,-0.19188322520035397
1.9,-0.09102152990273202,-0.3023470946830014,-0.19188322520035397
2.0,-0.11070186069251191,-0.30380168911788036,-0.19188322520035397
2.1,-0.11070186069251191,-0.30474569759712683,-0.22878384543119126
2.2,-0.1328422328310143,-0.3053113119660071,-0.22509378340810754
2.3,-0.1525225636207942,-0.3056076810100909,-0.24477411419788744
2.4,-0.1525225636207942,-0.305722577217677,-0.24477411419788744
2.5,-0.20295341126960517,-0.3057245119714021,-0.24477411419788744
2.6,-0.20295341126960517,-0.3056651181290351,-0.24477411419788744
2.7,-0.20295341126960517,-0.30558162536072736,-0.24477411419788744
2.8,-0.2091035146414114,-0.3054992869055434,-0.24477411419788744
2.9,-0.2091035146414114,-0.3054336566329143,-0.2607643829645836
3.0,-0.24108405217480372,-0.30539265235075125,-0.2607643829645836
