lambda,spearman_品牌引力,pearson_log_品牌引力,spearman_纯距离基线
1.0,-0.1756532263579998,-0.1789089705076052,-0.36409425312062976
1.1,-0.19488607816656356,-0.2031533968693305,-0.36614030118537055
1.2,-0.21739260687871262,-0.22636829183770124,-0.38864682989751964
1.3,-0.25473298406023265,-0.24851832421278489,-0.3955010909144014
1.4,-0.2784671416112262,-0.269552680267567,-0.40859579852874267
1.5,-0.28716284588637475,-0.2894128424432458,-0.40859579852874267
1.6,-0.28716284588637475,-0.3080440201511489,-0.41585926915857263
1.7,-0.29217566364498976,-0.32540499482665425,-0.4096188225611131
1.8,-0.3106923986308942,-0.34147353818849724,-0.42169050614308395
1.9,-0.3257308519067393,-0.35624710655036346,-0.4200536676912913
2.0,-0.3309482744718284,-0.3697401921194915,-0.42424806622401
2.1,-0.33954167634373983,-0.3819802257557784,-0.42424806622401
2.2,-0.34230384123113994,-0.3930035782969614,-0.42506648544990633
2.3,-0.3577515041199332,-0.40285251075332407,-0.42189511094955806
2.4,-0.362252809862363,-0.4115732781557047,-0.41770071241683937
2.5,-0.3639919507173927,-0.4192151820701199,-0.40747047209313525
2.6,-0.36961858289543,-0.4258302050524187,-0.40747047209313525
2.7,-0.3784165895738155,-0.4314728740438744,-0.4084934961255056
2.8,-0.3723807477828301,-0.43620010054236696,-0.38639617702630474
2.9,-0.3674702324274521,-0.4400708648825303,-0.40470830720573514
3.0,-0.38496394338098616,-0.44314571114870766,-0.4046060048024981
