lambda,spearman_品牌引力,pearson_log_品牌引力,spearman_纯距离基线
1.0,-0.1820944313803034,-0.23779714332739502,-0.3555523478601859
1.1,-0.193546513409433,-0.2530944499832746,-0.3532851308838849
1.2,-0.208035611667282,-0.2666979624317818,-0.3493306826694065
1.3,-0.22924199929212508,-0.27880769133971917,-0.35033247621707436
1.4,-0.24495434019765275,-0.2895537353326954,-0.35350657998389573
1.5,-0.24418454094523429,-0.29902715401170815,-0.3539494781839173
1.6,-0.25049056769792255,-0.3073021367776328,-0.35417092728392807
1.7,-0.25044838691696814,-0.31445001419359453,-0.35181934874571824
1.8,-0.26284953651757254,-0.3205461826421135,-0.3585999092841439
1.9,-0.2728147460180582,-0.3256716636784666,-0.3613943860223754
2.0,-0.28250578044234004,-0.3299113485810212,-0.3615631091461931
2.1,-0.28831618301881373,-0.33335081745366096,-0.3581253754984065
2.2,-0.2928717073618929,-0.33607310962573805,-0.35794610717935016
2.3,-0.2988613782574229,-0.33815621207011276,-0.35542580551732256
2.4,-0.3005169739098846,-0.33967152306120124,-0.35734503105074944
2.5,-0.3054943060625081,-0.34068322199982254,-0.3549723621220624
2.6,-0.311378525005652,-0.3412483243083865,-0.3565014154316607
2.7,-0.31428899889150813,-0.341417170669129,-0.3542869244315528
2.8,-0.3204157573251401,-0.3412341360844531,-0.3481179852169664
2.9,-0.31976195522034634,-0.34073840377981707,-0.3506277416837554
3.0,-0.32108010462517245,-0.33996470710946164,-0.35483527458396047
