λ1,λ2,Spearman排名相关
1.0,1.0,1.0
1.0,1.5,0.9832
1.0,2.0,0.9565
1.0,2.5,0.9352
1.0,3.0,0.9213
1.5,1.0,0.9832
1.5,1.5,1.0
1.5,2.0,0.99
1.5,2.5,0.9761
1.5,3.0,0.9623
2.0,1.0,0.9565
2.0,1.5,0.99
2.0,2.0,1.0
2.0,2.5,0.9941
2.0,3.0,0.9854
2.5,1.0,0.9352
2.5,1.5,0.9761
2.5,2.0,0.9941
2.5,2.5,1.0
2.5,3.0,0.9964
3.0,1.0,0.9213
3.0,1.5,0.9623
3.0,2.0,0.9854
3.0,2.5,0.9964
3.0,3.0,1.0

对比λ(vs 2.0),Top10重合,Bottom10重合
1.0,0.7,0.6
1.5,0.9,0.8
2.5,0.9,0.9
3.0,0.9,0.8

口径,值
距离口径,步行路网（高德 type=3，冻结于 data/road_distance.db）
取到对数,1228
截断(>5km),4350
回退直线,0
API调用,56
