lambda,spearman_品牌引力,pearson_log_品牌引力,spearman_纯距离基线
1.0,-0.18524975467084215,-0.12840407952073127,-0.4382812904381348
1.1,-0.199971589479121,-0.15777805379517904,-0.43644106108709996
1.2,-0.21960070255682612,-0.18489571098224625,-0.4226393409543385
1.3,-0.22328116125889583,-0.20968401966716674,-0.38890180285203285
1.4,-0.2281884395283221,-0.23210120801471748,-0.3885950979601937
1.5,-0.23432253736510494,-0.2521352536337742,-0.37878054142134115
1.6,-0.24014993031004866,-0.26980645062465103,-0.3846079343662848
1.7,-0.23370912758142667,-0.2851701999769023,-0.37602019739478887
1.8,-0.2652997314408584,-0.29831699701723113,-0.38307440990708913
1.9,-0.2748075830878718,-0.3093685473342716,-0.3953426055806548
2.0,-0.2941299912737378,-0.31847077892526426,-0.3953426055806548
2.1,-0.3100786456493732,-0.3257854432712169,-0.39258226155410253
2.2,-0.3100786456493732,-0.3314819534801222,-0.3833811147989283
2.3,-0.30915853097385576,-0.33573050876737837,-0.3833811147989283
2.4,-0.3336949223209872,-0.3386968779374258,-0.38184759033973253
2.5,-0.32326695599845634,-0.3405387442108403,-0.3852213441499631
2.6,-0.3352284467801829,-0.3414033088540007,-0.3901286224193894
2.7,-0.33062787340259575,-0.3414258370932177,-0.3812341805560543
2.8,-0.33952231526593085,-0.3407289012786289,-0.3778604267458237
2.9,-0.3447362984271963,-0.33942215629182726,-0.3778604267458237
3.0,-0.3447362984271963,-0.3376025363993872,-0.3815408854478934
