lambda,spearman_DxP
1.0,-0.15550999418376965
1.1,-0.16483194677470017
1.2,-0.1702627223225839
1.3,-0.1781821639467794
1.4,-0.17995375674686573
1.5,-0.1830118633660624
1.6,-0.1837078462518106
1.7,-0.1925447198617651
1.8,-0.1965518940524366
1.9,-0.19666789120006128
2.0,-0.19820748970489824
2.1,-0.19473812047139583
2.2,-0.19742714525724117
2.3,-0.19878747544302175
2.4,-0.2023095706527172
2.5,-0.19821803490013684
2.6,-0.1974693260381956
2.7,-0.19504393113331547
2.8,-0.1932301575522747
2.9,-0.19078367225691736
3.0,-0.18862190723300248
