序号,商圈,搜索关键词,品牌,美团月售,饿了么月售,备注
1,宁波天一广场,奈雪的茶(宁波天一广场),奈雪,2000,3000,
2,宁波天一广场,蜜雪冰城(天一广场店),蜜雪冰城,1000,1000,
3,宁波天一广场,MoreYogurt茉酸奶(宁波天一广场店),茉酸奶,1000,2000,
4,宁波天一广场,麦记牛奶(宁波天一广场店),个体/杂牌,1000,1000,
5,宁波天一广场,喜茶(宁波天一悦沢店),喜茶,2000,3000,
6,宁波天一广场,茉莉奶白(宁波天一广场店),茉莉奶白,3000,5000,
7,宁波天一广场,LINLEE·手打柠檬茶(海曙天一广场2店),LINLEE,1000,900,
8,宁波天一广场,LINLEE·手打柠檬茶(海曙天一广场店),LINLEE,200,300,
9,宁波天一广场,茶百道(宁波海曙东鼓道店),茶百道,1000,2000,
10,宁波天一广场,LELECHA乐乐茶(天一店),乐乐茶,2000,3000,
11,宁波天一广场,蜜雪冰城(东鼓道店),蜜雪冰城,800,1000,
12,宁波天一广场,茶百道(海曙开明街店),茶百道,1000,1000,
13,宁波天一广场,沪上阿姨·精选茶饮(宁波海曙天一大梁街店),沪上阿姨,3000,3000,
14,宁波天一广场,蜜雪冰城(亚细亚24小时营业店),蜜雪冰城,1000,2000,
15,宁波天一广场,春莱chunlai泰式奶茶(D-G Line 东鼓道店),个体/杂牌,2000,3000,
16,宁波天一广场,茶百道(宁波天一广场店),茶百道,4000,2000,
17,宁波天一广场,柠季·手打柠檬茶(宁波东鼓道店),柠季,900,1000,
18,宁波天一广场,贡茶gongcha888(新街店),贡茶,200,2000,
19,宁波天一广场,CoCo都可(大来店),CoCo,500,1000,
20,宁波天一广场,CoCo都可(莱迪数码时尚广场店),CoCo,200,1000,
21,宁波天一广场,LINLEE·手打柠檬茶(海曙东门银泰店),LINLEE,400,600,
22,宁波天一广场,南霆茶序(城隍庙店),个体/杂牌,1000,1000,
23,宁波天一广场,宝圆圆·现炒珍珠奶茶(宁波城隍庙店),个体/杂牌,200,1000,
24,宁波天一广场,茶百道(城隍庙店),茶百道,200,400,
25,宁波天一广场,城隍庙店(蜜雪冰城),蜜雪冰城,500,1000,
26,宁波天一广场,Blue Gaga饮品店(开明坊步行街店),个体/杂牌,5,40,
27,宁波天一广场,喜茶(宁波1844广场店),喜茶,500,1000,
28,宁波天一广场,CoCo都可(世贸店)(装修中),CoCo,0,0,
