序号,商圈,搜索关键词,品牌,美团月售,饿了么月售,备注
1,杭州湖滨in77,YES Lemon就是柠·手打柠檬茶(in77店),个体/杂牌,1000,900,
2,杭州湖滨in77,"蜜雪冰城(仁和路店,位置处于延安路215号)",蜜雪冰城,2000,2000,
3,杭州湖滨in77,霸王茶姬(浙江杭州东坡路店),霸王茶姬,2000,2000,
4,杭州湖滨in77,VQ鲜榨果汁(杭州湖滨in77店),个体/杂牌,500,200,
5,杭州湖滨in77,蜜雪冰城(西湖景区湖滨88店),蜜雪冰城,1000,500,
6,杭州湖滨in77,蜜雪冰城(平海路67号),蜜雪冰城,1000,1000,
7,杭州湖滨in77,李若桃·手作酸奶铺(杭州湖滨in77店),个体/杂牌,2000,7000,
8,杭州湖滨in77,CHAGEE霸王茶姬(杭州湖滨in77C3区店),霸王茶姬,2000,3000,
9,杭州湖滨in77,茉莉奶白(杭州湖滨in77B区店),茉莉奶白,3000,4000,
10,杭州湖滨in77,喜茶(杭州湖滨in77E区店),喜茶,2000,1000,
11,杭州湖滨in77,LELECHA乐乐茶(杭州湖滨in77店),乐乐茶,1000,2000,
12,杭州湖滨in77,CoCo都可(工联大厦店),CoCo,1000,1000,
13,杭州湖滨in77,茉莉奶白(杭州湖滨88店),茉莉奶白,3000,2000,
14,杭州湖滨in77,麒麟大口茶(杭州首店),个体/杂牌,2000,3000,
15,杭州湖滨in77,裕莲茶楼(杭州湖滨in77C3区店),个体/杂牌,2000,2000,
16,杭州湖滨in77,爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),个体/杂牌,10000,10000,
17,杭州湖滨in77,喜茶(杭州湖滨in77B区店),喜茶,3000,4000,
18,杭州湖滨in77,闲吉·好茶自然香(杭州湖滨in77B区店),个体/杂牌,2000,3000,
19,杭州湖滨in77,裕莲茶楼(杭州湖滨in77B区店),个体/杂牌,2000,3000,
20,杭州湖滨in77,沪上阿姨·精选茶饮(杭州工联CC店),沪上阿姨,2000,2000,
21,杭州湖滨in77,LINLEE·手打柠檬茶(湖滨工联CC店),LINLEE,500,1000,
22,杭州湖滨in77,CHAGEE霸王茶姬(上城工联CC店),霸王茶姬,3000,3000,
23,杭州湖滨in77,本就茶饮,个体/杂牌,1000,1000,
24,杭州湖滨in77,周四晚不止碰到茶(湖滨店),个体/杂牌,10000,10000,
25,杭州湖滨in77,CoCo都可(工联CC店),CoCo,500,1000,
26,杭州湖滨in77,鲜榨果汁,个体/杂牌,500,1000,
27,杭州湖滨in77,蜜雪冰城(学士路店),蜜雪冰城,1000,1000,
28,杭州湖滨in77,蜜雪冰城(西湖好吃街店),蜜雪冰城,2000,2000,
29,杭州湖滨in77,蜜雪冰城(杭州西湖风景名胜区-湖滨公园店),蜜雪冰城,2000,3000,
30,杭州湖滨in77,喝喝茶,个体/杂牌,1000,1000,
31,杭州湖滨in77,柠好鸭·手打柠檬茶(湖滨店),个体/杂牌,2000,2000,
32,杭州湖滨in77,蜜雪冰城(涌金广场店),蜜雪冰城,3000,2000,
33,杭州湖滨in77,熹子茶馆(杭州湖滨店),个体/杂牌,500,1000,
34,杭州湖滨in77,蜜雪冰城(中山中路362号店),蜜雪冰城,3000,4000,
35,杭州湖滨in77,沪上阿姨·精选茶饮(杭州中山中路店),沪上阿姨,2000,2000,
36,杭州湖滨in77,悦小颜鲜竹奶茶店,个体/杂牌,500,1000,
37,杭州湖滨in77,手打柠檬茶,个体/杂牌,1000,1000,
38,杭州湖滨in77,angtea艾熟茶(杭州嘉里中心店),个体/杂牌,500,800,
39,杭州湖滨in77,柠檬向右(杭州湖滨88店)(暂停营业),个体/杂牌,1000,1000,
