序号,商圈,搜索关键词,品牌,美团月售,饿了么月售,备注
1,海宁银泰商圈,CoCo都可(海宁银泰店),CoCo,500,1000,
2,海宁银泰商圈,李若桃·手作酸奶铺(嘉兴海宁银泰城店),个体/杂牌,200,3000,
3,海宁银泰商圈,蜜雪冰城(银泰城负一楼店),蜜雪冰城,700,2000,
4,海宁银泰商圈,茉莉奶白(嘉兴海宁银泰城店),茉莉奶白,1000,3000,
5,海宁银泰商圈,麦记牛奶(海宁银泰店),个体/杂牌,1000,3000,
6,海宁银泰商圈,Tamkoko泰柯茶园(海宁银泰店),个体/杂牌,600,2000,
7,海宁银泰商圈,沪上阿姨·精选茶饮(嘉兴海宁海昌路银泰店),沪上阿姨,1000,2000,
8,海宁银泰商圈,茶百道(海宁银泰百货店),茶百道,500,2000,
9,海宁银泰商圈,OT另茶(海宁银泰城店),个体/杂牌,400,1000,
10,海宁银泰商圈,煲珠公·老红糖珍珠奶茶(海宁银泰百货店),煲珠公,300,1000,
11,海宁银泰商圈,茶理宜世(海宁银泰店),个体/杂牌,400,1000,
12,海宁银泰商圈,CHAGEE霸王茶姬(海宁银泰店),霸王茶姬,2000,4000,
13,海宁银泰商圈,喜茶(海宁银泰城店),喜茶,1000,4000,
14,海宁银泰商圈,蜜雪冰城(银泰店),蜜雪冰城,800,2000,
15,海宁银泰商圈,渝品燕鲜炖热饮,个体/杂牌,900,0,
16,海宁银泰商圈,茶百道(华润店),茶百道,400,1000,
17,海宁银泰商圈,LELECHA乐乐茶(嘉兴海宁映运汇店),乐乐茶,500,1000,
