名称,品牌,商圈,商圈距离m,own_S,D,P,D×P,商圈中位D×P,uplift,低证据点,采用
爷爷不泡茶NOYEYENOTEA(杭州砂之船奥特莱斯店),爷爷不泡茶,砂之船国际生活广场,91,2.0,4.4,0.8345,3.672,3.437,,,
CHAGEE霸王茶姬(浙江杭州上城高德置地广场店),霸王茶姬,高德商场,74,2.0,6.8,0.8236,5.6,5.631,,,
李若桃·手作酸奶铺(杭州来福士中心店),李若桃,杭州来福士广场,17,1.4,7.2,0.2461,1.772,1.772,,,
麦记牛奶(杭州来福士店),麦记牛奶,杭州来福士广场,6,1.4,7.0,0.2506,1.754,1.772,,,
古茗(上城市民中心店),古茗,砂之船国际生活广场,274,2.2,3.8,0.9045,3.437,3.437,,,
1点点(砂之船国际生活广场店),一点点,砂之船国际生活广场,104,1.6,1.0,0.8638,0.864,3.437,,Y,
瑞幸咖啡(杭州太平金融大厦店),瑞幸,高德置地广场,201,2.2,8.4,0.8864,7.446,1.777,4.1898,,Y
茉莉奶白(杭州万象城店),茉莉奶白,杭州万象城,31,1.5,12.6,0.3963,4.993,4.957,1.0073,,Y
裕莲茶楼(杭州万象城店),裕莲茶楼,杭州万象城,76,1.5,10.2,0.5292,5.398,4.957,1.0889,,Y
喜茶(杭州万象城gelato lab+店),喜茶,杭州万象城,157,2.0,10.0,0.4945,4.945,4.957,0.9976,,Y
CoCo都可(万象城美广店),CoCo,杭州万象城,7,1.8,12.6,0.3955,4.983,4.957,1.0053,,Y
古茗(江干城星路店),古茗,高德置地广场,495,2.2,6.8,0.2807,1.909,1.777,1.074,,Y
蜜雪冰城(尊宝大厦店),蜜雪冰城,高德置地广场,505,2.5,7.2,0.2762,1.988,1.777,1.1189,,Y
奈雪的茶(杭州上城鑫亚钱江时代pure店),奈雪,高德置地广场,466,1.8,10.0,0.4294,4.294,1.777,2.4161,,Y
茉酸奶(尊宝大厦·银尊店),茉酸奶,高德置地广场,487,1.6,6.8,0.1797,1.222,1.777,0.6877,,Y
沪上阿姨·精选茶饮(杭州尊宝大厦店),沪上阿姨,高德置地广场,495,1.8,6.8,0.242,1.646,1.777,0.926,,Y
古茗(杭州上城观音塘店),古茗,四季青中国服装第一街,542,2.2,7.2,0.5212,3.753,2.632,1.4258,,Y
LINLEE·手打柠檬茶(上城尊宝大厦店),LINLEE,高德置地广场,505,1.5,7.2,0.1457,1.049,1.777,0.5903,,Y
爷爷不泡茶NOYEYENOTEA(杭州上城钱江路店),爷爷不泡茶,杭州万象城,363,2.0,11.6,0.3483,4.04,4.957,0.8151,,Y
OT另茶(杭州万象城店),OT另茶,杭州万象城,323,1.4,11.6,0.3429,3.978,4.957,0.8025,,Y
蜜雪冰城(观音塘店),蜜雪冰城,四季青中国服装第一街,542,2.5,7.2,0.5838,4.204,2.632,1.5972,,Y
