变量,N,均值,标准差,标准误,中位数,最小,P25,P75,最大,IQR,偏度,峰度,变异系数CV
A_客群POI,83,13.168675,9.223273,1.012386,11.0,1.0,6.0,18.5,34.0,12.5,0.821619,-0.463337,0.700395
B_商业POI,83,11.337349,6.524395,0.716145,15.0,0.0,3.0,16.0,20.0,13.0,-0.597066,-1.258637,0.575478
P_brand,83,0.562142,0.21125,0.023188,0.515131,0.200228,0.383962,0.694528,1.0,0.310566,0.544849,-0.576756,0.375795
品牌系数S,83,1.686747,0.478252,0.052495,1.6,1.0,1.4,2.0,2.5,0.6,0.33756,-0.773074,0.283535
本地竞争密度,83,18.843373,8.641197,0.948495,18.0,1.0,14.0,26.0,31.0,12.0,-0.384578,-0.737993,0.45858
外卖月售,83,3505.361446,3229.484289,354.481953,2600.0,45.0,1500.0,5000.0,20000.0,3500.0,3.373052,15.089857,0.921299
需求D,83,12.80241,8.057325,0.884406,11.2,0.8,6.1,17.4,30.6,11.3,0.670437,-0.52115,0.62936
P_blind,83,0.464093,0.2337,0.025652,0.400896,0.169956,0.293201,0.60247,1.0,0.309269,1.012611,0.011731,0.503562
D×P_brand,83,6.461084,3.823912,0.419729,5.848917,0.8,3.156887,9.688529,14.509832,6.531642,0.458838,-0.893046,0.591837
最近同类距离m,83,76.272457,93.296029,10.24057,43.543818,2.844648,19.722174,79.411719,403.595911,59.689545,2.037972,3.742177,1.223194
