变量1,变量2,Pearson_r,Pearson_p,r_95CI下限,r_95CI上限,CI含0,Spearman_rho,Spearman_p,显著性
A_客群POI,B_商业POI,0.455628,1.5e-05,0.266085,0.61125,False,0.332575,0.002127,***
A_客群POI,P_brand,-0.396485,0.000207,-0.56395,-0.197699,False,-0.389807,0.00027,***
A_客群POI,品牌系数S,0.003554,0.974561,-0.212302,0.219079,True,0.034707,0.755427,ns
A_客群POI,本地竞争密度,0.177677,0.108059,-0.039531,0.378851,True,0.20983,0.056922,ns
A_客群POI,外卖月售,-0.032051,0.773617,-0.246044,0.18492,True,-0.015156,0.891831,ns
B_商业POI,P_brand,-0.459435,1.2e-05,-0.614257,-0.270553,False,-0.387297,0.000298,***
B_商业POI,品牌系数S,0.065547,0.556039,-0.1523,0.277319,True,0.102628,0.355877,ns
B_商业POI,本地竞争密度,0.834382,0.0,0.754472,0.889917,False,0.858998,0.0,***
B_商业POI,外卖月售,0.179809,0.103826,-0.037332,0.380736,True,0.211476,0.054961,ns
P_brand,品牌系数S,0.163466,0.139781,-0.054136,0.366245,True,0.187556,0.089526,ns
P_brand,本地竞争密度,-0.656498,0.0,-0.764006,-0.513521,False,-0.570029,0.0,***
P_brand,外卖月售,-0.228995,0.037309,-0.423758,-0.013993,False,-0.197062,0.074156,*
品牌系数S,本地竞争密度,0.0591,0.59561,-0.158615,0.271334,True,0.059814,0.591168,ns
品牌系数S,外卖月售,0.15424,0.163853,-0.063568,0.358022,True,0.287106,0.008497,**
本地竞争密度,外卖月售,0.280104,0.010326,0.068553,0.46755,False,0.318967,0.003292,**
