名称,经度,纬度,外卖月售,品牌,吸引力系数,商圈,A_客群POI_API口径,B_商业POI_API口径,需求D_API口径,品牌系数S,S已覆盖,A_客群POI,B_商业POI,P_blind,P_brand,需求D,D×P_blind,D×P_brand,本地竞争密度,最近同类距离m
奈雪的茶(宁波天一广场),121.554918,29.869261,5000,奈雪,,宁波天一广场,28,34,29.2,1.8,True,31,15,0.25057855022309317,0.3757229089527759,27.8,6.9660836962019905,10.44509686888717,22,31.714773085072192
蜜雪冰城(天一广场店),121.554812,29.868991,2000,蜜雪冰城,,宁波天一广场,25,32,26.4,2.5,True,31,17,0.26467234301680476,0.47364124889882536,28.200000000000003,7.463760073073895,13.356683218946877,22,31.714773085072192
MoreYogurt茉酸奶(宁波天一广场店),121.555221,29.869131,3000,茉酸奶,,宁波天一广场,22,26,22.8,1.6,True,30,15,0.2549787487960929,0.3538339199582116,27.0,6.884426217494508,9.553515838871714,21,32.59700200294043
麦记牛奶(宁波天一广场店),121.55558,29.869596,2000,麦记牛奶,,宁波天一广场,30,18,27.6,1.4,True,28,13,0.2895668735103124,0.3633123360153591,25.000000000000004,7.239171837757811,9.082808400383978,19,33.655192854445524
喜茶(宁波天一悦沢店),121.555887,29.86974,5000,喜茶,,宁波天一广场,32,13,28.2,2.0,True,23,13,0.34692025448056885,0.5151310975189937,21.000000000000004,7.285325344091947,10.817753047898869,17,33.655192854445524
茉莉奶白(宁波天一广场店),121.55206,29.870216,8000,茉莉奶白,,宁波天一广场,36,56,40.0,1.5,True,31,17,0.26854454892997076,0.3551323896944912,28.200000000000003,7.572956279825176,10.014733389384652,21,46.197354734630615
LINLEE·手打柠檬茶(海曙天一广场2店),121.551908,29.869822,1900,LINLEE,,宁波天一广场,24,50,29.2,1.5,True,31,17,0.24045012426465384,0.3219667177508441,28.200000000000003,6.780693504263239,9.079461440573805,22,46.197354734630615
LINLEE·手打柠檬茶(海曙天一广场店),121.552375,29.870825,500,LINLEE,,宁波天一广场,37,21,33.8,1.5,True,29,17,0.3646499306320176,0.4626265299251567,26.6,9.69968815481167,12.30586569600917,20,74.21740238539414
茶百道(宁波海曙东鼓道店),121.554173,29.871582,3000,茶百道,,宁波天一广场,34,53,37.8,1.8,True,18,14,0.2582668652304572,0.3852769428039771,17.2,4.442190081963864,6.626763416228406,18,90.12062565018356
LELECHA乐乐茶(天一店),121.552344,29.867962,5000,乐乐茶,,宁波天一广场,9,22,11.6,1.6,True,31,16,0.40089649495958496,0.5170615049318998,28.0,11.22510185886838,14.477722138093196,24,59.26700973896407
蜜雪冰城(东鼓道店),121.553247,29.871692,1800,蜜雪冰城,,宁波天一广场,33,18,30.0,2.5,True,22,13,0.36759028962641904,0.5923580972629076,20.200000000000003,7.425323850453665,11.965633564710734,17,48.54644160760586
茶百道(海曙开明街店),121.551424,29.869688,2000,茶百道,,宁波天一广场,18,53,25.0,1.8,True,32,17,0.235172387222789,0.35628043976816803,29.0,6.819999229460881,10.332132753276873,22,23.750460359885267
沪上阿姨·精选茶饮(宁波海曙天一大梁街店),121.551269,29.869854,6000,沪上阿姨,,宁波天一广场,18,55,25.4,1.8,True,32,16,0.20024504712125413,0.3106725700716366,28.8,5.767057357092119,8.947370018063134,22,23.750460359885267
蜜雪冰城(亚细亚24小时营业店),121.55226,29.867434,3000,蜜雪冰城,,宁波天一广场,11,15,11.8,2.5,True,24,15,0.42709524420700706,0.65080471347104,22.200000000000003,9.481514421395557,14.447864639057089,24,59.26700973896407
春莱chunlai泰式奶茶(D-G Line 东鼓道店),121.552766,29.871821,5000,春莱,,宁波天一广场,30,17,27.4,1.4,True,24,13,0.3691426852718076,0.45030852075902567,21.800000000000004,8.047310538925407,9.81672575254676,17,6.819951477472976
茶百道(宁波天一广场店),121.557016,29.868224,6000,茶百道,,宁波天一广场,23,29,24.2,1.8,True,16,10,0.6029465520425599,0.7321472605889818,14.8,8.923608970229887,10.835779456716931,9,198.11006350607806
柠季·手打柠檬茶(宁波东鼓道店),121.552789,29.871879,1900,柠季,,宁波天一广场,30,17,27.4,1.0,False,24,13,0.3348172274086366,0.3348172274086366,21.800000000000004,7.299015557508279,7.299015557508279,17,6.819951477472976
贡茶gongcha888(新街店),121.550684,29.869007,2200,贡茶,,宁波天一广场,12,35,16.6,1.0,False,34,17,0.4286139083569328,0.4286139083569328,30.6,13.115585595722145,13.115585595722145,21,104.04547845324623
CoCo都可(大来店),121.552019,29.866701,1500,CoCo,,宁波天一广场,11,36,16.0,1.8,True,22,15,0.4596472883465769,0.6049238376998761,20.6,9.468734139939485,12.46143105661745,18,69.32633983669805
CoCo都可(莱迪数码时尚广场店),121.55101,29.867274,1200,CoCo,,宁波天一广场,17,30,19.6,1.8,True,25,14,0.4417620728056456,0.5875321830358187,22.8,10.07217525996872,13.395733773216666,17,64.80155025920374
LINLEE·手打柠檬茶(海曙东门银泰店),121.558675,29.869275,1000,LINLEE,,宁波天一广场,33,11,28.6,1.5,True,13,7,0.739973270577193,0.810197616002268,11.8,8.731684592810877,9.560331868826763,6,198.11006350607806
南霆茶序(城隍庙店),121.551345,29.866484,2000,个体/杂牌,,宁波天一广场,9,48,16.8,1.0,True,20,15,0.3156249030902702,0.3156249030902702,19.0,5.996873158715133,5.996873158715133,17,69.32633983669805
宝圆圆·现炒珍珠奶茶(宁波城隍庙店),121.55036,29.867126,1200,宝圆圆,,宁波天一广场,22,32,24.0,1.3,True,26,15,0.5457480834999493,0.609656799563574,23.8,12.988804387298794,14.509831829613061,16,64.80155025920374
茶百道(城隍庙店),121.55065,29.866126,600,茶百道,,宁波天一广场,9,57,18.6,1.8,True,19,12,0.4781113184592893,0.6225006774983075,17.6,8.414759204883492,10.956011923970213,13,46.1379993722224
城隍庙店(蜜雪冰城),121.550682,29.865712,1500,蜜雪冰城,,宁波天一广场,9,59,19.0,2.5,True,17,12,0.41055481684893685,0.6352064441273743,16.0,6.56887706958299,10.163303106037988,12,46.1379993722224
Blue Gaga饮品店(开明坊步行街店),121.552855,29.863588,45,个体/杂牌,,宁波天一广场,7,22,10.0,1.0,True,15,7,0.859583044222138,0.859583044222138,13.4,11.51841279257665,11.51841279257665,8,315.7323057456961
喜茶(宁波1844广场店),121.553255,29.875406,1500,喜茶,,宁波天一广场,3,67,15.8,2.0,True,10,4,0.7796425803469612,0.8761788338363552,8.8,6.860854707053259,7.710373737759927,4,394.74998011873294
YES Lemon就是柠·手打柠檬茶(in77店),120.16331,30.252845,1900,就是柠,,杭州湖滨in77,31,15,27.8,1.3,True,6,19,0.4219122929897583,0.48686205507834296,8.600000000000001,3.6284457197119218,4.18701367367375,29,25.095712400488246
"蜜雪冰城(仁和路店,位置处于延安路215号)",120.164112,30.252484,4000,蜜雪冰城,,杭州湖滨in77,46,16,40.0,2.5,True,6,19,0.5152995682434185,0.7266134923087411,8.600000000000001,4.431576286893399,6.248876033855174,30,86.86461748011038
霸王茶姬(浙江杭州东坡路店),120.163073,30.25294,4000,霸王茶姬,,杭州湖滨in77,27,11,23.8,2.0,True,5,19,0.4364799282231954,0.6077076604378097,7.800000000000001,3.4045434401409245,4.740119751414916,29,25.095712400488246
VQ鲜榨果汁(杭州湖滨in77店),120.164675,30.253375,700,VQ鲜榨果汁,,杭州湖滨in77,52,9,43.4,1.3,True,14,20,0.29846849767173583,0.35612171315881747,15.200000000000001,4.536721164610385,5.413050040014026,30,78.35304147834282
蜜雪冰城(西湖景区湖滨88店),120.162846,30.254084,1500,蜜雪冰城,,杭州湖滨in77,4,21,7.4,2.5,True,10,17,0.36196119234227075,0.5864790153409047,11.4,4.126357592701886,6.685860774886314,30,67.0053859625906
蜜雪冰城(平海路67号),120.165153,30.253946,2000,蜜雪冰城,,杭州湖滨in77,55,11,46.2,2.5,True,15,19,0.23549715864581922,0.4350598565329846,15.8,3.7208551066039437,6.8739457332211575,30,78.35304147834282
李若桃·手作酸奶铺(杭州湖滨in77店),120.163629,30.254508,9000,李若桃,,杭州湖滨in77,4,11,5.4,1.4,True,11,16,0.19401270008742375,0.2520568853606174,12.0,2.328152401049085,3.0246826243274088,31,27.303984145327053
CHAGEE霸王茶姬(杭州湖滨in77C3区店),120.164908,30.251307,5000,霸王茶姬,,杭州湖滨in77,34,8,28.8,2.0,True,8,19,0.6019943099562358,0.7515561150434815,10.200000000000001,6.140341961553606,7.665872373443512,28,30.184302113802595
茉莉奶白(杭州湖滨in77B区店),120.16351,30.254731,7000,茉莉奶白,,杭州湖滨in77,5,19,7.8,1.5,True,11,16,0.2212402305434192,0.29880635264195643,12.0,2.6548827665210304,3.585676231703477,30,24.719439432907038
喜茶(杭州湖滨in77E区店),120.163928,30.25088,3000,喜茶,,杭州湖滨in77,21,17,20.2,2.0,True,4,18,0.5299362579766627,0.6927559958314894,6.800000000000001,3.6035665542413065,4.7107407716541285,25,80.47039678889448
LELECHA乐乐茶(杭州湖滨in77店),120.164759,30.251068,3000,乐乐茶,,杭州湖滨in77,26,7,22.2,1.6,True,4,19,0.6178889241070371,0.7212360269424402,7.0,4.32522246874926,5.048652188597081,26,6.837101321035005
CoCo都可(工联大厦店),120.163751,30.254809,2000,CoCo,,杭州湖滨in77,5,12,6.4,1.8,True,11,16,0.17676854795704677,0.27876226559160805,12.0,2.1212225754845613,3.345147187099297,31,22.694461380773667
茉莉奶白(杭州湖滨88店),120.16219,30.254289,5000,茉莉奶白,,杭州湖滨in77,5,41,12.2,1.5,True,9,16,0.3953358400236678,0.4951320396305199,10.4,4.111492736246145,5.149373212157407,29,46.44758144211733
麒麟大口茶(杭州首店),120.164802,30.251019,5000,麒麟大口茶,,杭州湖滨in77,24,8,20.8,1.3,True,4,19,0.6293139679966013,0.6881831733388687,7.0,4.405197775976209,4.8172822133720805,26,6.837101321035005
