名称,商圈,品牌,S,D,P_blind,P_brand,DP_blind,DP_brand,S覆盖
奈雪的茶(宁波天一广场),宁波天一广场,奈雪,1.8,27.8,0.25057855022309317,0.3757229089527759,6.9660836962019905,10.44509686888717,True
蜜雪冰城(天一广场店),宁波天一广场,蜜雪冰城,2.5,28.200000000000003,0.26467234301680476,0.47364124889882536,7.463760073073895,13.356683218946877,True
MoreYogurt茉酸奶(宁波天一广场店),宁波天一广场,茉酸奶,1.6,27.0,0.2549787487960929,0.3538339199582116,6.884426217494508,9.553515838871714,True
麦记牛奶(宁波天一广场店),宁波天一广场,麦记牛奶,1.4,25.000000000000004,0.2895668735103124,0.3633123360153591,7.239171837757811,9.082808400383978,True
喜茶(宁波天一悦沢店),宁波天一广场,喜茶,2.0,21.000000000000004,0.34692025448056885,0.5151310975189937,7.285325344091947,10.817753047898869,True
茉莉奶白(宁波天一广场店),宁波天一广场,茉莉奶白,1.5,28.200000000000003,0.26854454892997076,0.3551323896944912,7.572956279825176,10.014733389384652,True
LINLEE·手打柠檬茶(海曙天一广场2店),宁波天一广场,LINLEE,1.5,28.200000000000003,0.24045012426465384,0.3219667177508441,6.780693504263239,9.079461440573805,True
LINLEE·手打柠檬茶(海曙天一广场店),宁波天一广场,LINLEE,1.5,26.6,0.3646499306320176,0.4626265299251567,9.69968815481167,12.30586569600917,True
茶百道(宁波海曙东鼓道店),宁波天一广场,茶百道,1.8,17.2,0.2582668652304572,0.3852769428039771,4.442190081963864,6.626763416228406,True
LELECHA乐乐茶(天一店),宁波天一广场,乐乐茶,1.6,28.0,0.40089649495958496,0.5170615049318998,11.22510185886838,14.477722138093196,True
蜜雪冰城(东鼓道店),宁波天一广场,蜜雪冰城,2.5,20.200000000000003,0.36759028962641904,0.5923580972629076,7.425323850453665,11.965633564710734,True
茶百道(海曙开明街店),宁波天一广场,茶百道,1.8,29.0,0.235172387222789,0.35628043976816803,6.819999229460881,10.332132753276873,True
沪上阿姨·精选茶饮(宁波海曙天一大梁街店),宁波天一广场,沪上阿姨,1.8,28.8,0.20024504712125413,0.3106725700716366,5.767057357092119,8.947370018063134,True
蜜雪冰城(亚细亚24小时营业店),宁波天一广场,蜜雪冰城,2.5,22.200000000000003,0.42709524420700706,0.65080471347104,9.481514421395557,14.447864639057089,True
春莱chunlai泰式奶茶(D-G Line 东鼓道店),宁波天一广场,春莱,1.4,21.800000000000004,0.3691426852718076,0.45030852075902567,8.047310538925407,9.81672575254676,True
茶百道(宁波天一广场店),宁波天一广场,茶百道,1.8,14.8,0.6029465520425599,0.7321472605889818,8.923608970229887,10.835779456716931,True
柠季·手打柠檬茶(宁波东鼓道店),宁波天一广场,柠季,1.0,21.800000000000004,0.3348172274086366,0.3348172274086366,7.299015557508279,7.299015557508279,False
贡茶gongcha888(新街店),宁波天一广场,贡茶,1.0,30.6,0.4286139083569328,0.4286139083569328,13.115585595722145,13.115585595722145,False
CoCo都可(大来店),宁波天一广场,CoCo,1.8,20.6,0.4596472883465769,0.6049238376998761,9.468734139939485,12.46143105661745,True
CoCo都可(莱迪数码时尚广场店),宁波天一广场,CoCo,1.8,22.8,0.4417620728056456,0.5875321830358187,10.07217525996872,13.395733773216666,True
LINLEE·手打柠檬茶(海曙东门银泰店),宁波天一广场,LINLEE,1.5,11.8,0.739973270577193,0.810197616002268,8.731684592810877,9.560331868826763,True
南霆茶序(城隍庙店),宁波天一广场,个体/杂牌,1.0,19.0,0.3156249030902702,0.3156249030902702,5.996873158715133,5.996873158715133,False
宝圆圆·现炒珍珠奶茶(宁波城隍庙店),宁波天一广场,宝圆圆,1.3,23.8,0.5457480834999493,0.609656799563574,12.988804387298794,14.509831829613061,True
茶百道(城隍庙店),宁波天一广场,茶百道,1.8,17.6,0.4781113184592893,0.6225006774983075,8.414759204883492,10.956011923970213,True
城隍庙店(蜜雪冰城),宁波天一广场,蜜雪冰城,2.5,16.0,0.41055481684893685,0.6352064441273743,6.56887706958299,10.163303106037988,True
Blue Gaga饮品店(开明坊步行街店),宁波天一广场,个体/杂牌,1.0,13.4,0.859583044222138,0.859583044222138,11.51841279257665,11.51841279257665,False
喜茶(宁波1844广场店),宁波天一广场,喜茶,2.0,8.8,0.7796425803469612,0.8761788338363552,6.860854707053259,7.710373737759927,True
YES Lemon就是柠·手打柠檬茶(in77店),杭州湖滨in77,就是柠,1.3,8.600000000000001,0.4219122929897583,0.48686205507834296,3.6284457197119218,4.18701367367375,True
"蜜雪冰城(仁和路店,位置处于延安路215号)",杭州湖滨in77,蜜雪冰城,2.5,8.600000000000001,0.5152995682434185,0.7266134923087411,4.431576286893399,6.248876033855174,True
霸王茶姬(浙江杭州东坡路店),杭州湖滨in77,霸王茶姬,2.0,7.800000000000001,0.4364799282231954,0.6077076604378097,3.4045434401409245,4.740119751414916,True
VQ鲜榨果汁(杭州湖滨in77店),杭州湖滨in77,VQ鲜榨果汁,1.3,15.200000000000001,0.29846849767173583,0.35612171315881747,4.536721164610385,5.413050040014026,True
蜜雪冰城(西湖景区湖滨88店),杭州湖滨in77,蜜雪冰城,2.5,11.4,0.36196119234227075,0.5864790153409047,4.126357592701886,6.685860774886314,True
蜜雪冰城(平海路67号),杭州湖滨in77,蜜雪冰城,2.5,15.8,0.23549715864581922,0.4350598565329846,3.7208551066039437,6.8739457332211575,True
李若桃·手作酸奶铺(杭州湖滨in77店),杭州湖滨in77,李若桃,1.4,12.0,0.19401270008742375,0.2520568853606174,2.328152401049085,3.0246826243274088,True
CHAGEE霸王茶姬(杭州湖滨in77C3区店),杭州湖滨in77,霸王茶姬,2.0,10.200000000000001,0.6019943099562358,0.7515561150434815,6.140341961553606,7.665872373443512,True
茉莉奶白(杭州湖滨in77B区店),杭州湖滨in77,茉莉奶白,1.5,12.0,0.2212402305434192,0.29880635264195643,2.6548827665210304,3.585676231703477,True
喜茶(杭州湖滨in77E区店),杭州湖滨in77,喜茶,2.0,6.800000000000001,0.5299362579766627,0.6927559958314894,3.6035665542413065,4.7107407716541285,True
LELECHA乐乐茶(杭州湖滨in77店),杭州湖滨in77,乐乐茶,1.6,7.0,0.6178889241070371,0.7212360269424402,4.32522246874926,5.048652188597081,True
CoCo都可(工联大厦店),杭州湖滨in77,CoCo,1.8,12.0,0.17676854795704677,0.27876226559160805,2.1212225754845613,3.345147187099297,True
茉莉奶白(杭州湖滨88店),杭州湖滨in77,茉莉奶白,1.5,10.4,0.3953358400236678,0.4951320396305199,4.111492736246145,5.149373212157407,True
麒麟大口茶(杭州首店),杭州湖滨in77,麒麟大口茶,1.3,7.0,0.6293139679966013,0.6881831733388687,4.405197775976209,4.8172822133720805,True
裕莲茶楼(杭州湖滨in77C3区店),杭州湖滨in77,裕莲茶楼,1.5,6.6000000000000005,0.6345601460681388,0.7225799878000511,4.188096964049716,4.7690279194803376,True
爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),杭州湖滨in77,爷爷不泡茶,2.0,12.0,0.16995612570411858,0.2905341866590653,2.039473508449423,3.4864102399087833,True
喜茶(杭州湖滨in77B区店),杭州湖滨in77,喜茶,2.0,11.2,0.22242255462226618,0.3639045333076265,2.491132611769381,4.075730773045417,True
闲吉·好茶自然香(杭州湖滨in77B区店),杭州湖滨in77,闲吉,1.1,12.0,0.18540026043360797,0.2002280531568297,2.2248031252032954,2.4027366378819566,True
裕莲茶楼(杭州湖滨in77B区店),杭州湖滨in77,裕莲茶楼,1.5,10.4,0.21269103252391083,0.288369721842237,2.211986738248673,2.999045107159265,True
沪上阿姨·精选茶饮(杭州工联CC店),杭州湖滨in77,沪上阿姨,1.8,12.8,0.2968360887664428,0.43177244478250587,3.799501936210468,5.526687293216075,True
LINLEE·手打柠檬茶(湖滨工联CC店),杭州湖滨in77,LINLEE,1.5,12.8,0.3118468278742334,0.40467234781421013,3.9916393967901875,5.17980605202189,True
CHAGEE霸王茶姬(上城工联CC店),杭州湖滨in77,霸王茶姬,2.0,13.600000000000001,0.30143712563317704,0.4632373238722869,4.099544908611208,6.300027604663103,True
本就茶饮,杭州湖滨in77,个体/杂牌,1.0,10.2,0.6860301659256901,0.6860301659256901,6.9975076924420385,6.9975076924420385,False
周四晚不止碰到茶(湖滨店),杭州湖滨in77,周四晚,1.6,11.2,0.27378344066615024,0.3762473316632987,3.0663745354608825,4.213970114628945,True
CoCo都可(工联CC店),杭州湖滨in77,CoCo,1.8,12.600000000000001,0.35686898835098935,0.4997017364892576,4.496549253222466,6.296241879764646,True
鲜榨果汁,杭州湖滨in77,个体/杂牌,1.0,10.0,0.4346755141402969,0.4346755141402969,4.346755141402969,4.346755141402969,False
蜜雪冰城(学士路店),杭州湖滨in77,蜜雪冰城,2.5,12.0,0.49863862042667145,0.7131730856990608,5.983663445120057,8.55807702838873,True
蜜雪冰城(西湖好吃街店),杭州湖滨in77,蜜雪冰城,2.5,12.0,0.27613528729770087,0.4881465051003653,3.3136234475724105,5.857758061204383,True
蜜雪冰城(杭州西湖风景名胜区-湖滨公园店),杭州湖滨in77,蜜雪冰城,2.5,2.4000000000000004,0.9460811860355958,0.9777114098052961,2.27059484648543,2.3465073835327113,True
喝喝茶,杭州湖滨in77,个体/杂牌,1.0,14.4,0.8314943831521072,0.8314943831521072,11.973519117390344,11.973519117390344,False
柠好鸭·手打柠檬茶(湖滨店),杭州湖滨in77,柠好鸭,1.2,11.0,0.6274458502119161,0.6689846870991621,6.901904352331077,7.358831558090784,True
蜜雪冰城(涌金广场店),杭州湖滨in77,蜜雪冰城,2.5,5.6,0.8987211836187343,0.9568674236812725,5.032838628264912,5.358457572615126,True
