名称,经度,纬度,外卖月售,品牌,吸引力系数,商圈
YES Lemon就是柠·手打柠檬茶(in77店),120.16331,30.252845,1900,就是柠,,杭州湖滨in77
"蜜雪冰城(仁和路店,位置处于延安路215号)",120.164112,30.252484,4000,蜜雪冰城,,杭州湖滨in77
霸王茶姬(浙江杭州东坡路店),120.163073,30.25294,4000,霸王茶姬,,杭州湖滨in77
VQ鲜榨果汁(杭州湖滨in77店),120.164675,30.253375,700,VQ鲜榨果汁,,杭州湖滨in77
蜜雪冰城(西湖景区湖滨88店),120.162846,30.254084,1500,蜜雪冰城,,杭州湖滨in77
蜜雪冰城(平海路67号),120.165153,30.253946,2000,蜜雪冰城,,杭州湖滨in77
李若桃·手作酸奶铺(杭州湖滨in77店),120.163629,30.254508,9000,李若桃,,杭州湖滨in77
CHAGEE霸王茶姬(杭州湖滨in77C3区店),120.164908,30.251307,5000,霸王茶姬,,杭州湖滨in77
茉莉奶白(杭州湖滨in77B区店),120.16351,30.254731,7000,茉莉奶白,,杭州湖滨in77
喜茶(杭州湖滨in77E区店),120.163928,30.25088,3000,喜茶,,杭州湖滨in77
LELECHA乐乐茶(杭州湖滨in77店),120.164759,30.251068,3000,乐乐茶,,杭州湖滨in77
CoCo都可(工联大厦店),120.163751,30.254809,2000,CoCo,,杭州湖滨in77
茉莉奶白(杭州湖滨88店),120.16219,30.254289,5000,茉莉奶白,,杭州湖滨in77
麒麟大口茶(杭州首店),120.164802,30.251019,5000,麒麟大口茶,,杭州湖滨in77
裕莲茶楼(杭州湖滨in77C3区店),120.164764,30.250927,4000,裕莲茶楼,,杭州湖滨in77
爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),120.163792,30.25501,20000,爷爷不泡茶,,杭州湖滨in77
喜茶(杭州湖滨in77B区店),120.16373,30.255087,7000,喜茶,,杭州湖滨in77
闲吉·好茶自然香(杭州湖滨in77B区店),120.163869,30.255096,5000,闲吉,,杭州湖滨in77
裕莲茶楼(杭州湖滨in77B区店),120.163452,30.255186,5000,裕莲茶楼,,杭州湖滨in77
沪上阿姨·精选茶饮(杭州工联CC店),120.164614,30.255089,4000,沪上阿姨,,杭州湖滨in77
LINLEE·手打柠檬茶(湖滨工联CC店),120.164598,30.255239,1500,LINLEE,,杭州湖滨in77
CHAGEE霸王茶姬(上城工联CC店),120.164475,30.255275,6000,霸王茶姬,,杭州湖滨in77
本就茶饮,120.165293,30.250675,2000,个体/杂牌,,杭州湖滨in77
周四晚不止碰到茶(湖滨店),120.163177,30.255428,20000,周四晚,,杭州湖滨in77
CoCo都可(工联CC店),120.16463,30.255643,1500,CoCo,,杭州湖滨in77
鲜榨果汁,120.161823,30.255562,1500,个体/杂牌,,杭州湖滨in77
蜜雪冰城(学士路店),120.164237,30.256396,2000,蜜雪冰城,,杭州湖滨in77
蜜雪冰城(西湖好吃街店),120.164225,30.256494,4000,蜜雪冰城,,杭州湖滨in77
蜜雪冰城(杭州西湖风景名胜区-湖滨公园店),120.160474,30.249563,5000,蜜雪冰城,,杭州湖滨in77
喝喝茶,120.168682,30.253892,2000,个体/杂牌,,杭州湖滨in77
柠好鸭·手打柠檬茶(湖滨店),120.165085,30.257644,4000,柠好鸭,,杭州湖滨in77
蜜雪冰城(涌金广场店),120.165532,30.247484,5000,蜜雪冰城,,杭州湖滨in77
熹子茶馆(杭州湖滨店),120.159825,30.257375,1500,个体/杂牌,,杭州湖滨in77
蜜雪冰城(中山中路362号店),120.170353,30.252189,7000,蜜雪冰城,,杭州湖滨in77
沪上阿姨·精选茶饮(杭州中山中路店),120.170362,30.251858,4000,沪上阿姨,,杭州湖滨in77
悦小颜鲜竹奶茶店,120.15931,30.248109,1500,个体/杂牌,,杭州湖滨in77
手打柠檬茶,120.157925,30.257175,2000,个体/杂牌,,杭州湖滨in77
angtea艾熟茶(杭州嘉里中心店),120.162458,30.25981,1300,angtea艾熟茶,,杭州湖滨in77
柠檬向右(杭州湖滨88店)(暂停营业),120.162372,30.254676,2000,个体/杂牌,,杭州湖滨in77
