商圈,名称,经度,纬度,外卖月售,品牌,吸引力系数,地址
宁波天一广场,奈雪的茶(宁波天一广场),121.554918,29.869261,,奈雪,,碶闸街144号天一广场餐饮区1层IVb1003室
宁波天一广场,蜜雪冰城(天一广场店),121.554812,29.868991,,蜜雪冰城,,碶闸街118号天一广场餐饮区第一层IVC1012
宁波天一广场,MoreYogurt茉酸奶(宁波天一广场店),121.555221,29.869131,,茉酸奶,,江厦街道天一广场水晶街SE-09-cd(骑士牛排楼下)
宁波天一广场,麦记牛奶(宁波天一广场店),121.55558,29.869596,,个体/杂牌,,日新街38号一层水晶街悦沢书店1026号商铺
宁波天一广场,喜茶(宁波天一悦沢店),121.555887,29.86974,,喜茶,,水晶街29-37号日新街38-50号
宁波天一广场,茉莉奶白(宁波天一广场店),121.55206,29.870216,,茉莉奶白,,江厦街道开明街318号天一广场LB108
宁波天一广场,LINLEE·手打柠檬茶(海曙天一广场2店),121.551908,29.869822,,LINLEE,,江厦街道开明街298号天一广场1B区1层
宁波天一广场,LINLEE·手打柠檬茶(海曙天一广场店),121.552375,29.870825,,LINLEE,,华楼街天一广场SA-02(党群服务中心斜对面)
宁波天一广场,茶百道(宁波海曙东鼓道店),121.554173,29.871582,,茶百道,,东鼓道地下商业街B1-45-1A
宁波天一广场,LELECHA乐乐茶(天一店),121.552344,29.867962,,乐乐茶,,药行街152号酷购A馆一层A1-29号
宁波天一广场,蜜雪冰城(东鼓道店),121.553247,29.871692,,蜜雪冰城,,中山东路9号D-G Line东鼓道B1层B1-42-2A
宁波天一广场,茶百道(海曙开明街店),121.551424,29.869688,,茶百道,,开明街277号
宁波天一广场,沪上阿姨·精选茶饮(宁波海曙天一大梁街店),121.551269,29.869854,,沪上阿姨,,大梁街9号(1-19)
宁波天一广场,蜜雪冰城(亚细亚24小时营业店),121.55226,29.867434,,蜜雪冰城,,药行街169号亚细亚A座1-9-1
宁波天一广场,春莱chunlai泰式奶茶(D-G Line 东鼓道店),121.552766,29.871821,,个体/杂牌,,中山东路9号东鼓道B2(鼓楼地铁站J口步行220米)
宁波天一广场,茶百道(宁波天一广场店),121.557016,29.868224,,茶百道,,日新街89弄5号1-7-1
宁波天一广场,柠季·手打柠檬茶(宁波东鼓道店),121.552789,29.871879,,柠季,,东鼓道负一楼B1-Z-01商铺
宁波天一广场,贡茶gongcha888(新街店),121.550684,29.869007,,贡茶,,新街商城28号(城隍庙地铁站D口步行360米)
宁波天一广场,CoCo都可(大来店),121.552019,29.866701,,CoCo,,大来街49号(城隍庙地铁站D口步行180米)
宁波天一广场,CoCo都可(莱迪数码时尚广场店),121.55101,29.867274,,CoCo,,江夏街道药行街169号莱迪数码时尚广场1楼1Z49
宁波天一广场,LINLEE·手打柠檬茶(海曙东门银泰店),121.558675,29.869275,,LINLEE,,江厦街23号东门银泰百货二次元街区2FB-2012
宁波天一广场,南霆茶序(城隍庙店),121.551345,29.866484,,个体/杂牌,,开明街138号
宁波天一广场,宝圆圆·现炒珍珠奶茶(宁波城隍庙店),121.55036,29.867126,,个体/杂牌,,药行街195号开明坊1F南门入口
宁波天一广场,茶百道(城隍庙店),121.55065,29.866126,,茶百道,,开明街112号(1-50)
宁波天一广场,城隍庙店(蜜雪冰城),121.550682,29.865712,,蜜雪冰城,,大沙泥街228号
宁波天一广场,Blue Gaga饮品店(开明坊步行街店),121.552855,29.863588,,个体/杂牌,,江夏街道开明坊步行街亭子01号
宁波天一广场,喜茶(宁波1844广场店),121.553255,29.875406,,喜茶,,和义路96号一层D-01室
宁波天一广场,CoCo都可(世贸店)(装修中),121.557786,29.868168,,CoCo,,东渡路29号世贸中心大厦1层
杭州湖滨in77,YES Lemon就是柠·手打柠檬茶(in77店),120.16331,30.252845,,个体/杂牌,,仁和路6号(龙翔桥地铁站C口步行230米)
杭州湖滨in77,"蜜雪冰城(仁和路店,位置处于延安路215号)",120.164112,30.252484,,蜜雪冰城,,延安路215号1楼1F-2
杭州湖滨in77,霸王茶姬(浙江杭州东坡路店),120.163073,30.25294,,霸王茶姬,,东坡路10-3号104室
杭州湖滨in77,VQ鲜榨果汁(杭州湖滨in77店),120.164675,30.253375,,个体/杂牌,,延安路258号湖滨银泰in77 C2区302-1室
杭州湖滨in77,蜜雪冰城(西湖景区湖滨88店),120.162846,30.254084,,蜜雪冰城,,平海路124号地下一层商场B1-10A号商铺
杭州湖滨in77,蜜雪冰城(平海路67号),120.165153,30.253946,,蜜雪冰城,,湖滨街道平海路124号地下一层商场B1-10A号商铺
杭州湖滨in77,李若桃·手作酸奶铺(杭州湖滨in77店),120.163629,30.254508,,个体/杂牌,,延安路245号杭州湖滨in77B区B1层
杭州湖滨in77,CHAGEE霸王茶姬(杭州湖滨in77C3区店),120.164908,30.251307,,霸王茶姬,,湖滨银泰in77C3区B1-104室
杭州湖滨in77,茉莉奶白(杭州湖滨in77B区店),120.16351,30.254731,,茉莉奶白,,湖滨银泰in77-B区-B2(负二层)
杭州湖滨in77,喜茶(杭州湖滨in77E区店),120.163928,30.25088,,喜茶,,湖滨街道延安路185号130室喜茶
杭州湖滨in77,LELECHA乐乐茶(杭州湖滨in77店),120.164759,30.251068,,乐乐茶,,解放路238号湖滨银泰in77C3区-B1F
杭州湖滨in77,CoCo都可(工联大厦店),120.163751,30.254809,,CoCo,,延安路90号
杭州湖滨in77,茉莉奶白(杭州湖滨88店),120.16219,30.254289,,茉莉奶白,,平海路124号湖滨88购物中心层(F1-14)号铺茉莉奶白
杭州湖滨in77,麒麟大口茶(杭州首店),120.164802,30.251019,,个体/杂牌,,解放路238号111-1室in77C3区B1
杭州湖滨in77,裕莲茶楼(杭州湖滨in77C3区店),120.164764,30.250927,,个体/杂牌,,延安路258号杭州湖滨银泰in77C区C3区B1层
杭州湖滨in77,爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),120.163792,30.25501,,个体/杂牌,,延安路251-2号(龙翔桥地铁站出入口步行50米)
杭州湖滨in77,喜茶(杭州湖滨in77B区店),120.16373,30.255087,,喜茶,,湖滨街道延安路245号湖滨银泰in77B区负一层138室
杭州湖滨in77,闲吉·好茶自然香(杭州湖滨in77B区店),120.163869,30.255096,,个体/杂牌,,湖滨银泰in77B区负一楼(龙翔桥地铁站C口旁)
