品牌,人均消费元,口径,来源,数据截止,备注
CoCo都可,13.88,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测；同为窄门的 2025-02-12 快照为 ¥13（相差 6%）
书亦烧仙草,13.56,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测；2025-02-12 快照为 ¥12（相差 12%）
益禾堂,10.12,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测；2025-02-12 快照为 ¥10（相差 1%）
甜啦啦,9.98,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测；2025-02-12 快照为 ¥9（相差 10%）
一点点,15.05,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测
快乐番薯,10.39,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测
阿水大杯茶,12.96,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测
奈雪的茶,20.48,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测
茉酸奶,24.55,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测
LINLEE,17.07,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测
悸动烧仙草,15.52,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测
一鸣真鲜奶吧,15.91,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测
吾饮良品,11.02,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测
柠季手打柠檬茶,15.76,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,非披露非实测
古茗,16.26,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,仅作交叉校验（B 级披露值优先）
茶百道,14.93,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,仅作交叉校验（B 级披露值优先）
沪上阿姨,13.86,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,与招股书价格带 7~22 的中位吻合，可作互证
霸王茶姬,18.33,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,与招股书单杯价 ¥20.48 相差 11%，可作互证
喜茶,17.94,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,仅作交叉校验（B 级披露值优先）
蜜雪冰城,8.06,第三方平台「人均消费」≈单杯价,窄门餐眼门店数/人均榜,2024-02-20,与招股书单杯价 ¥6.72 相差 20%，仅作交叉校验
